Date,Time,Day of Week,Road Team,Home Team,Venue,Venue Capactiy,Notes,Attendance Rank,Published Attendance,Percent of Venue Cap,Running Total,,
3/20/24,7:00 ET,Wednesday,Ottawa,New York,Total Mortgage Arena,10000,,69,1702,17.02%,282944,,
3/20/24,7:00 ET,Wednesday,Boston,Toronto,Mattamy Athletic Centre,2539,,56,2525,99.45%,285469,,
3/23/24,1:00 ET,Saturday,Toronto,Ottawa,TD Place,8585,,13,8448,98.40%,293917,,
3/24/24,3:00 CT,Sunday,Montréal,Minnesota,Grand Casino Arena,17954,,21,7268,40.48%,301185,,
3/25/24,7:00 ET,Monday,Boston,New York,UBS Arena,17250,,50,2834,16.43%,304019,,
4/18/24,7:00 ET,Thursday,Toronto,Boston,Tsongas Center,6500,,37,4084,62.83%,308103,,
4/18/24,7:00 ET,Thursday,Minnesota,Montréal,Verdun Auditorium,3232,,47,3084,95.42%,311187,,
4/20/24,1:00 ET,Saturday,Toronto,Montréal,Bell Centre,21105,,1,21105,100.00%,332292,,
4/20/24,3:30 ET,Saturday,Boston,New York,Prudential Center,16514,Announced 3/26,29,5132,31.08%,337424,,
4/20/24,7:00 ET,Saturday,Minnesota,Ottawa,TD Place,8585,,17,8101,94.36%,345525,,
4/24/24,7:00 ET,Wednesday,Boston,Ottawa,TD Place,8585,,20,7686,89.53%,353211,,
4/24/24,7:00 ET,Wednesday,New York,Montréal,Verdun Auditorium,3232,,43,3232,100.00%,356443,,
4/27/24,12:30 ET,Saturday,Montréal,Ottawa,TD Place,8585,,12,8542,99.50%,364985,,
4/27/24,1:00 CT,Saturday,Boston,Minnesota,Grand Casino Arena,17954,,8,9977,55.57%,374962,,
4/28/24,1:00 ET,Sunday,Toronto,New York,UBS Arena,17250,Moved from 4/24 @ Total Mortgage,70,1668,9.67%,376630,,
4/30/24,7:00 ET,Tuesday,Ottawa,New York,Prudential Center,16514,Announced 3/26,48,2992,18.12%,379622,,
5/1/24,7:00 ET,Wednesday,Minnesota,Toronto,Mattamy Athletic Centre,2539,,53,2571,101.26%,382193,,
5/4/24,1:00 ET,Saturday,Minnesota,New York,UBS Arena,17250,,71,1563,9.06%,383756,,
5/4/24,3:30 ET,Saturday,Montréal,Boston,Tsongas Center,6500,,26,5964,91.75%,389720,,
5/5/24,7:00 ET,Sunday,Ottawa,Toronto,Mattamy Athletic Centre,2539,,52,2620,103.19%,392340,,
