"GP","Date","home_team","Opponent","GF","GA","...7","...8","W","L","OL","Streak","Att.","LOG","Time","...16","...17"
35,"12/23/23","VAN","San Jose Sharks",7,4,"W",NA,23,9,3,"W 1",18875,02:32:00,NA,NA,NA
36,"12/28/23","VAN","Philadelphia Flyers",1,4,"L",NA,23,10,3,"L 1",18986,02:27:00,NA,NA,NA
37,"1/2/24","VAN","Ottawa Senators",6,3,"W",NA,24,10,3,"W 1",18810,02:22:00,NA,NA,NA
45,"1/18/24","VAN","Arizona Coyotes",2,1,"W",NA,30,11,4,"W 1",19005,02:30:00,NA,NA,NA
46,"1/20/24","VAN","Toronto Maple Leafs",6,4,"W",NA,31,11,4,"W 2",18865,02:33:00,NA,NA,NA
47,"1/22/24","VAN","Chicago Blackhawks",2,0,"W",NA,32,11,4,"W 3",18714,02:12:00,NA,NA,NA
48,"1/24/24","VAN","St. Louis Blues",3,4,"L","OT",32,11,5,"L 1",19003,02:26:00,NA,NA,NA
49,"1/27/24","VAN","Columbus Blue Jackets",5,4,"W","OT",33,11,5,"W 1",19002,02:44:00,NA,NA,NA
55,"2/15/24","VAN","Detroit Red Wings",4,1,"W",NA,37,12,6,"W 3",18947,02:25:00,NA,NA,NA
56,"2/17/24","VAN","Winnipeg Jets",2,4,"L",NA,37,13,6,"L 1",18992,02:30:00,NA,NA,NA
60,"2/24/24","VAN","Boston Bruins",3,2,"W","OT",38,16,6,"W 1",18924,02:44:00,NA,NA,NA
61,"2/27/24","VAN","Pittsburgh Penguins",3,4,"L","OT",38,16,7,"L 1",18730,02:31:00,NA,NA,NA
62,"2/29/24","VAN","Los Angeles Kings",1,5,"L",NA,38,17,7,"L 2",18801,02:22:00,NA,NA,NA
66,"3/9/24","VAN","Winnipeg Jets",5,0,"W",NA,42,17,7,"W 4",18954,02:21:00,NA,NA,NA
67,"3/13/24","VAN","Colorado Avalanche",3,4,"L","OT",42,17,8,"L 1",18880,02:27:00,NA,NA,NA
68,"3/16/24","VAN","Washington Capitals",1,2,"L",NA,42,18,8,"L 2",18859,02:22:00,NA,NA,NA
69,"3/19/24","VAN","Buffalo Sabres",3,2,"W",NA,43,18,8,"W 1",18733,02:30:00,NA,NA,NA
70,"3/21/24","VAN","Montreal Canadiens",4,1,"W",NA,44,18,8,"W 2",18804,02:22:00,NA,NA,NA
71,"3/23/24","VAN","Calgary Flames",4,2,"W",NA,45,18,8,"W 3",18903,02:24:00,NA,NA,NA
72,"3/25/24","VAN","Los Angeles Kings",2,3,"L",NA,45,19,8,"L 1",18870,02:24:00,NA,NA,NA
73,"3/28/24","VAN","Dallas Stars",1,3,"L",NA,45,20,8,"L 2",18987,02:29:00,NA,NA,NA
74,"3/31/24","VAN","Anaheim Ducks",3,2,"W",NA,46,20,8,"W 1",18735,02:29:00,NA,NA,NA
78,"4/8/24","VAN","Vegas Golden Knights",4,3,"W",NA,48,22,8,"W 1",18899,02:28:00,NA,NA,NA
79,"4/10/24","VAN","Arizona Coyotes",3,4,"L","OT",48,22,9,"L 1",18856,02:39:00,NA,NA,NA
81,"4/16/24","VAN","Calgary Flames",4,1,"W",NA,50,22,9,"W 2",18918,02:30:00,NA,NA,NA
1,"10/9/24","VAN","Calgary Flames",5,6,"L","OT",0,0,1,"L 1",18850,02:44:00,NA,NA,NA
2,"10/11/24","VAN","Philadelphia Flyers",2,3,"L","SO",0,0,2,"L 2",18875,02:47:00,NA,NA,NA
7,"10/26/24","VAN","Pittsburgh Penguins",4,3,"W",NA,4,1,2,"W 4",18748,02:25:00,NA,NA,NA
8,"10/28/24","VAN","Carolina Hurricanes",3,4,"L","OT",4,1,3,"L 1",18682,02:33:00,NA,NA,NA
9,"10/30/24","VAN","New Jersey Devils",0,6,"L",NA,4,2,3,"L 2",18717,02:24:00,NA,NA,NA
13,"11/9/24","VAN","Edmonton Oilers",3,7,"L",NA,7,3,3,"L 1",18714,02:31:00,NA,NA,NA
14,"11/12/24","VAN","Calgary Flames",3,1,"W",NA,8,3,3,"W 1",18781,02:29:00,NA,NA,NA
15,"11/14/24","VAN","New York Islanders",2,5,"L",NA,8,4,3,"L 1",18728,02:34:00,NA,NA,NA
16,"11/16/24","VAN","Chicago Blackhawks",4,1,"W",NA,9,4,3,"W 1",18620,02:22:00,NA,NA,NA
17,"11/17/24","VAN","Nashville Predators",3,5,"L",NA,9,5,3,"L 1",18587,02:20:00,NA,NA,NA
18,"11/19/24","VAN","New York Rangers",3,4,"L",NA,9,6,3,"L 2",18688,02:34:00,NA,NA,NA
25,"12/6/24","VAN","Columbus Blue Jackets",5,2,"W",NA,14,7,4,"W 1",18529,02:34:00,NA,NA,NA
26,"12/8/24","VAN","Tampa Bay Lightning",2,4,"L",NA,14,8,4,"L 1",18290,02:20:00,NA,NA,NA
27,"12/10/24","VAN","St. Louis Blues",3,4,"L","OT",14,8,5,"L 2",18754,02:35:00,NA,NA,NA
28,"12/12/24","VAN","Florida Panthers",4,0,"W",NA,15,8,5,"W 1",18614,02:25:00,NA,NA,NA
29,"12/14/24","VAN","Boston Bruins",1,5,"L",NA,15,9,5,"L 1",18787,02:31:00,NA,NA,NA
30,"12/16/24","VAN","Colorado Avalanche",3,1,"W",NA,16,9,5,"W 1",18856,02:24:00,NA,NA,NA
33,"12/21/24","VAN","Ottawa Senators",4,5,"L","OT",16,10,7,"L 3",18940,02:30:00,NA,NA,NA
34,"12/23/24","VAN","San Jose Sharks",4,3,"W",NA,17,10,7,"W 1",18791,02:41:00,NA,NA,NA
35,"12/28/24","VAN","Seattle Kraken",4,5,"L","OT",17,10,8,"L 1",18905,02:27:00,NA,NA,NA
38,"1/3/25","VAN","Nashville Predators",0,3,"L",NA,18,12,8,"L 1",18894,02:24:00,NA,NA,NA
44,"1/16/25","VAN","Los Angeles Kings",1,5,"L",NA,19,15,10,"L 2",18913,02:31:00,NA,NA,NA
45,"1/18/25","VAN","Edmonton Oilers",3,2,"W",NA,20,15,10,"W 1",18965,02:30:00,NA,NA,NA
46,"1/21/25","VAN","Buffalo Sabres",2,3,"L",NA,20,16,10,"L 1",19064,02:23:00,NA,NA,NA
48,"1/25/25","VAN","Washington Capitals",2,1,"W",NA,21,17,10,"W 1",18876,02:24:00,NA,NA,NA
52,"2/2/25","VAN","Detroit Red Wings",2,3,"L","OT",23,18,11,"L 2",18872,02:33:00,NA,NA,NA
53,"2/4/25","VAN","Colorado Avalanche",3,0,"W",NA,24,18,11,"W 1",18924,02:34:00,NA,NA,NA
55,"2/8/25","VAN","Toronto Maple Leafs",2,1,"W",NA,26,18,11,"W 3",19022,02:19:00,NA,NA,NA
61,"3/5/25","VAN","Anaheim Ducks",3,2,"W",NA,28,22,11,"W 1",18865,02:40:00,NA,NA,NA
62,"3/7/25","VAN","Minnesota Wild",3,1,"W",NA,29,22,11,"W 2",18885,02:19:00,NA,NA,NA
63,"3/9/25","VAN","Dallas Stars",1,4,"L",NA,29,23,11,"L 1",18656,02:24:00,NA,NA,NA
64,"3/11/25","VAN","Montreal Canadiens",2,4,"L",NA,29,24,11,"L 2",18886,02:39:00,NA,NA,NA
66,"3/15/25","VAN","Chicago Blackhawks",6,2,"W",NA,31,24,11,"W 2",18847,02:21:00,NA,NA,NA
67,"3/16/25","VAN","Utah Hockey Club",1,3,"L",NA,31,25,11,"L 1",18804,02:31:00,NA,NA,NA
68,"3/18/25","VAN","Winnipeg Jets",6,2,"W",NA,32,25,11,"W 1",18968,02:18:00,NA,NA,NA
75,"4/2/25","VAN","Seattle Kraken",0,5,"L",NA,34,28,13,"L 3",18914,02:21:00,NA,NA,NA
76,"4/5/25","VAN","Anaheim Ducks",6,2,"W",NA,35,28,13,"W 1",18914,02:28:00,NA,NA,NA
77,"4/6/25","VAN","Vegas Golden Knights",2,3,"L",NA,35,29,13,"L 1",18807,02:39:00,NA,NA,NA
80,"4/12/25","VAN","Minnesota Wild",2,3,"L","OT",37,29,14,"L 1",18844,02:38:00,NA,NA,NA
81,"4/14/25","VAN","San Jose Sharks",2,1,"W","OT",38,29,14,"W 1",18908,02:28:00,NA,NA,NA
82,"4/16/25","VAN","Vegas Golden Knights",1,4,"L",NA,38,30,14,"L 1",18942,02:23:00,NA,NA,NA
1,"10/9/25","VAN","Calgary Flames",5,1,NA,"W",1,0,0,"W 1",19012,02:33:00,22:00:00,NA,NA
2,"10/11/25","VAN","Edmonton Oilers",1,3,NA,"L",1,1,0,"L 1",18347,02:33:00,22:00:00,"@",NA
3,"10/13/25","VAN","St. Louis Blues",2,5,NA,"L",1,2,0,"L 2",18952,02:19:00,19:30:00,NA,NA
4,"10/16/25","VAN","Dallas Stars",5,3,NA,"W",2,2,0,"W 1",18532,02:26:00,20:00:00,"@",NA
5,"10/17/25","VAN","Chicago Blackhawks",3,2,NA,"W",3,2,0,"W 2",18306,02:54:00,20:30:00,"@","SO"
6,"10/19/25","VAN","Washington Capitals",4,3,NA,"W",4,2,0,"W 3",17018,02:36:00,12:30:00,"@",NA
7,"10/21/25","VAN","Pittsburgh Penguins",1,5,NA,"L",4,3,0,"L 1",13685,02:26:00,19:00:00,"@",NA
8,"10/23/25","VAN","Nashville Predators",1,2,NA,"L",4,4,0,"L 2",17159,02:24:00,20:00:00,"@",NA
9,"10/25/25","VAN","Montreal Canadiens",3,4,NA,"L",4,5,0,"L 3",18846,02:32:00,19:00:00,NA,NA
10,"10/26/25","VAN","Edmonton Oilers",4,3,NA,"W",5,5,0,"W 1",18770,02:33:00,22:00:00,NA,"OT"
11,"10/28/25","VAN","New York Rangers",0,2,NA,"L",5,6,0,"L 1",18919,02:23:00,22:00:00,NA,NA
12,"10/30/25","VAN","St. Louis Blues",4,3,NA,"W",6,6,0,"W 1",16848,02:44:00,20:00:00,"@","SO"
13,"11/1/25","VAN","Minnesota Wild",2,5,NA,"L",6,7,0,"L 1",17216,02:31:00,19:00:00,"@",NA
14,"11/3/25","VAN","Nashville Predators",5,4,NA,"W",7,7,0,"W 1",17159,02:42:00,20:30:00,"@","OT"
15,"11/5/25","VAN","Chicago Blackhawks",2,5,NA,"L",7,8,0,"L 1",19002,02:22:00,22:00:00,NA,NA
16,"11/8/25","VAN","Columbus Blue Jackets",4,3,NA,"W",8,8,0,"W 1",18763,02:31:00,22:00:00,NA,NA
17,"11/9/25","VAN","Colorado Avalanche",4,5,NA,"L",8,8,1,"L 1",18643,02:33:00,22:00:00,NA,"OT"
18,"11/11/25","VAN","Winnipeg Jets",3,5,NA,"L",8,9,1,"L 2",18725,02:32:00,22:00:00,NA,NA
19,"11/14/25","VAN","Carolina Hurricanes",3,4,NA,"L",8,9,2,"L 3",18299,02:37:00,19:00:00,"@","OT"
20,"11/16/25","VAN","Tampa Bay Lightning",6,2,NA,"W",9,9,2,"W 1",19092,02:37:00,17:00:00,"@",NA
21,"11/17/25","VAN","Florida Panthers",5,8,NA,"L",9,10,2,"L 1",19260,02:40:00,19:00:00,"@",NA
22,"11/20/25","VAN","Dallas Stars",2,4,NA,"L",9,11,2,"L 2",18703,02:29:00,22:00:00,NA,NA
23,"11/23/25","VAN","Calgary Flames",2,5,NA,"L",9,12,2,"L 3",18671,02:24:00,21:00:00,NA,NA
24,"11/26/25","VAN","Anaheim Ducks",5,4,NA,"W",10,12,2,"W 1",16781,02:28:00,22:00:00,"@",NA
25,"11/28/25","VAN","San Jose Sharks",2,3,NA,"L",10,13,2,"L 1",17435,02:40:00,16:00:00,"@",NA
26,"11/29/25","VAN","Los Angeles Kings",1,2,NA,"L",10,13,3,"L 2",18145,02:39:00,22:00:00,"@","OT"
27,"12/2/25","VAN","Colorado Avalanche",1,3,NA,"L",10,14,3,"L 3",18103,02:17:00,21:00:00,"@",NA
28,"12/5/25","VAN","Utah Mammoth",1,4,NA,"L",10,15,3,"L 4",18732,02:34:00,21:00:00,NA,NA
29,"12/6/25","VAN","Minnesota Wild",4,2,NA,"W",11,15,3,"W 1",18629,02:37:00,22:00:00,NA,NA
30,"12/8/25","VAN","Detroit Red Wings",0,4,NA,"L",11,16,3,"L 1",18707,02:21:00,22:00:00,NA,NA
31,"12/11/25","VAN","Buffalo Sabres",2,3,NA,"L",11,17,3,"L 2",18606,02:22:00,22:00:00,NA,NA
32,"12/14/25","VAN","New Jersey Devils",2,1,NA,"W",12,17,3,"W 1",13821,02:25:00,12:30:00,"@",NA
33,"12/16/25","VAN","New York Rangers",3,0,NA,"W",13,17,3,"W 2",17452,02:23:00,19:00:00,"@",NA
34,"12/19/25","VAN","New York Islanders",4,1,NA,"W",14,17,3,"W 3",17255,02:26:00,19:00:00,"@",NA
35,"12/20/25","VAN","Boston Bruins",5,4,NA,"W",15,17,3,"W 4",17850,02:48:00,19:00:00,"@","SO"
36,"12/22/25","VAN","Philadelphia Flyers",2,5,NA,"L",15,18,3,"L 1",19994,02:27:00,19:30:00,"@",NA
37,"12/27/25","VAN","San Jose Sharks",3,6,NA,"L",15,19,3,"L 2",18992,02:33:00,22:00:00,NA,NA
38,"12/29/25","VAN","Seattle Kraken",3,2,NA,"W",16,19,3,"W 1",17151,02:46:00,22:00:00,"@","SO"
39,"12/30/25","VAN","Philadelphia Flyers",3,6,NA,"L",16,20,3,"L 1",18853,02:28:00,22:00:00,NA,NA
40,"1/2/26","VAN","Seattle Kraken",3,4,NA,"L",16,20,4,"L 2",18724,02:38:00,22:30:00,NA,"SO"
41,"1/3/26","VAN","Boston Bruins",2,3,NA,"L",16,20,5,"L 3",18665,02:37:00,22:00:00,NA,"OT"
42,"1/6/26","VAN","Buffalo Sabres",3,5,NA,"L",16,21,5,"L 4",17036,02:22:00,19:00:00,"@",NA
43,"1/8/26","VAN","Detroit Red Wings",1,5,NA,"L",16,22,5,"L 5",18425,02:24:00,19:00:00,"@",NA
44,"1/10/26","VAN","Toronto Maple Leafs",0,5,NA,"L",16,23,5,"L 6",19078,02:31:00,19:00:00,"@",NA
45,"1/12/26","VAN","Montreal Canadiens",3,6,NA,"L",16,24,5,"L 7",20962,02:24:00,19:30:00,"@",NA
46,"1/13/26","VAN","Ottawa Senators",1,2,NA,"L",16,25,5,"L 8",15801,02:19:00,19:00:00,"@",NA
47,"1/15/26","VAN","Columbus Blue Jackets",1,4,NA,"L",16,26,5,"L 9",14918,02:23:00,19:00:00,"@",NA
48,"1/17/26","VAN","Edmonton Oilers",0,6,NA,"L",16,27,5,"L 10",18845,02:23:00,22:00:00,NA,NA
49,"1/19/26","VAN","New York Islanders",3,4,NA,"L",16,28,5,"L 11",18503,02:25:00,22:00:00,NA,NA
50,"1/21/26","VAN","Washington Capitals",4,3,NA,"W",17,28,5,"W 1",18556,02:29:00,22:00:00,NA,NA
51,"1/23/26","VAN","New Jersey Devils",4,5,NA,"L",17,29,5,"L 1",18603,02:19:00,22:00:00,NA,NA
52,"1/25/26","VAN","Pittsburgh Penguins",2,3,NA,"L",17,30,5,"L 2",18955,02:26:00,18:00:00,NA,NA
53,"1/27/26","VAN","San Jose Sharks",2,5,NA,"L",17,31,5,"L 3",18964,02:29:00,22:00:00,NA,NA
54,"1/29/26","VAN","Anaheim Ducks",2,0,NA,"W",18,31,5,"W 1",18774,02:31:00,22:00:00,NA,NA
55,"1/31/26","VAN","Toronto Maple Leafs",2,3,NA,"L",18,31,6,"L 1",18905,02:39:00,19:00:00,NA,"SO"
56,"2/2/26","VAN","Utah Mammoth",2,6,NA,"L",18,32,6,"L 2",12478,02:25:00,21:30:00,"@",NA
57,"2/4/26","VAN","Vegas Golden Knights",2,5,NA,"L",18,33,6,"L 3",17622,02:32:00,22:00:00,"@",NA
58,"2/25/26","VAN","Winnipeg Jets",2,3,NA,"L",18,33,7,"L 4",18139,02:33:00,22:00:00,NA,"OT"
59,"2/28/26","VAN","Seattle Kraken",1,5,NA,"L",18,34,7,"L 5",17151,02:24:00,22:00:00,"@",NA
60,"3/2/26","VAN","Dallas Stars",1,6,NA,"L",18,35,7,"L 6",18222,02:26:00,22:00:00,NA,NA
61,"3/4/26","VAN","Carolina Hurricanes",4,6,NA,"L",18,36,7,"L 7",18004,02:31:00,22:00:00,NA,NA
62,"3/6/26","VAN","Chicago Blackhawks",6,3,NA,"W",19,36,7,"W 1",20580,02:25:00,20:30:00,"@",NA
63,"3/7/26","VAN","Winnipeg Jets",2,3,NA,"L",19,36,8,"L 1",14294,02:22:00,19:00:00,"@","OT"
64,"3/9/26","VAN","Ottawa Senators",0,2,NA,"L",19,37,8,"L 2",18228,02:19:00,21:00:00,NA,NA
65,"3/12/26","VAN","Nashville Predators",4,3,NA,"W",20,37,8,"W 1",18521,02:29:00,22:00:00,NA,"SO"
66,"3/14/26","VAN","Seattle Kraken",2,5,NA,"L",20,38,8,"L 1",18611,02:23:00,22:00:00,NA,NA
67,"3/17/26","VAN","Florida Panthers",5,2,NA,"W",21,38,8,"W 1",18355,02:26:00,22:00:00,NA,NA
68,"3/19/26","VAN","Tampa Bay Lightning",2,6,NA,"L",21,39,8,"L 1",18345,02:29:00,22:00:00,NA,NA
69,"3/21/26","VAN","St. Louis Blues",1,3,NA,"L",21,40,8,"L 2",18719,02:20:00,19:00:00,NA,NA
70,"3/24/26","VAN","Anaheim Ducks",3,5,NA,"L",21,41,8,"L 3",18001,02:27:00,22:00:00,NA,NA
71,"3/26/26","VAN","Los Angeles Kings",0,4,NA,"L",21,42,8,"L 4",18611,02:21:00,22:00:00,NA,NA
72,"3/28/26","VAN","Calgary Flames",3,7,NA,"L",21,43,8,"L 5",18780,02:37:00,22:00:00,"@",NA
73,"3/30/26","VAN","Vegas Golden Knights",2,4,NA,"L",21,44,8,"L 6",17810,02:33:00,22:00:00,"@",NA
74,"4/1/26","VAN","Colorado Avalanche",8,6,NA,"W",22,44,8,"W 1",18103,02:32:00,20:30:00,"@",NA
75,"4/2/26","VAN","Minnesota Wild",2,5,NA,"L",22,45,8,"L 1",19156,02:26:00,20:00:00,"@",NA
76,"4/4/26","VAN","Utah Mammoth",4,7,NA,"L",22,46,8,"L 2",18693,02:39:00,19:00:00,NA,NA
77,"4/7/26","VAN","Vegas Golden Knights",1,2,NA,"L",22,47,8,"L 3",18691,02:27:00,22:00:00,NA,NA
78,"4/9/26","VAN","Los Angeles Kings",1,4,NA,"L",22,48,8,"L 4",18145,02:25:00,22:30:00,"@",NA
79,"4/11/26","VAN","San Jose Sharks",4,3,NA,"W",23,48,8,"W 1",17435,02:46:00,22:00:00,"@","SO"
80,"4/12/26","VAN","Anaheim Ducks",4,3,NA,"W",24,48,8,"W 2",16731,02:39:00,20:00:00,"@","OT"
81,"4/14/26","VAN","Los Angeles Kings",4,3,NA,"W",25,48,8,"W 3",18969,02:38:00,22:00:00,NA,"OT"
82,"4/16/26","VAN","Edmonton Oilers",1,6,NA,"L",25,49,8,"L 1",18347,02:23:00,21:00:00,"@",NA
3,"10/16/23","NYR","Arizona Coyotes",2,1,"W",NA,2,1,0,"W 1",18006,02:29:00,NA,NA,NA
4,"10/19/23","NYR","Nashville Predators",1,4,"L",NA,2,2,0,"L 1",18006,02:24:00,NA,NA,NA
10,"11/2/23","NYR","Carolina Hurricanes",2,1,"W",NA,8,2,0,"W 6",18006,02:31:00,NA,NA,NA
12,"11/7/23","NYR","Detroit Red Wings",5,3,"W",NA,9,2,1,"W 1",18006,02:25:00,NA,NA,NA
13,"11/9/23","NYR","Minnesota Wild",4,1,"W",NA,10,2,1,"W 2",18006,02:23:00,NA,NA,NA
14,"11/12/23","NYR","Columbus Blue Jackets",4,3,"W","SO",11,2,1,"W 3",18006,02:55:00,NA,NA,NA
19,"11/25/23","NYR","Boston Bruins",7,4,"W",NA,15,3,1,"W 3",18006,02:41:00,NA,NA,NA
20,"11/27/23","NYR","Buffalo Sabres",1,5,"L",NA,15,4,1,"L 1",18006,02:21:00,NA,NA,NA
21,"11/29/23","NYR","Detroit Red Wings",3,2,"W",NA,16,4,1,"W 1",18006,02:34:00,NA,NA,NA
23,"12/3/23","NYR","San Jose Sharks",6,5,"W",NA,18,4,1,"W 3",18006,02:31:00,NA,NA,NA
26,"12/10/23","NYR","Los Angeles Kings",4,1,"W",NA,19,6,1,"W 1",18006,02:32:00,NA,NA,NA
27,"12/12/23","NYR","Toronto Maple Leafs",3,7,"L",NA,19,7,1,"L 1",18006,02:26:00,NA,NA,NA
28,"12/15/23","NYR","Anaheim Ducks",5,1,"W",NA,20,7,1,"W 1",18006,02:34:00,NA,NA,NA
31,"12/22/23","NYR","Edmonton Oilers",3,4,"L",NA,22,8,1,"L 1",18006,02:29:00,NA,NA,NA
32,"12/23/23","NYR","Buffalo Sabres",4,3,"W","OT",23,8,1,"W 1",18006,02:36:00,NA,NA,NA
33,"12/27/23","NYR","Washington Capitals",5,1,"W",NA,24,8,1,"W 2",18006,02:19:00,NA,NA,NA
36,"1/2/24","NYR","Carolina Hurricanes",1,6,"L",NA,25,10,1,"L 1",18006,02:28:00,NA,NA,NA
37,"1/4/24","NYR","Chicago Blackhawks",4,1,"W",NA,26,10,1,"W 1",18006,02:22:00,NA,NA,NA
39,"1/8/24","NYR","Vancouver Canucks",3,6,"L",NA,26,11,2,"L 2",18006,02:28:00,NA,NA,NA
42,"1/14/24","NYR","Washington Capitals",2,1,"W",NA,27,13,2,"W 1",18006,02:29:00,NA,NA,NA
43,"1/16/24","NYR","Seattle Kraken",5,2,"W",NA,28,13,2,"W 2",18006,02:19:00,NA,NA,NA
48,"1/26/24","NYR","Vegas Golden Knights",2,5,"L",NA,29,16,3,"L 2",18006,02:33:00,NA,NA,NA
50,"2/5/24","NYR","Colorado Avalanche",2,1,"W","OT",31,16,3,"W 2",18006,02:23:00,NA,NA,NA
51,"2/7/24","NYR","Tampa Bay Lightning",3,1,"W",NA,32,16,3,"W 3",17208,02:24:00,NA,NA,NA
53,"2/12/24","NYR","Calgary Flames",2,0,"W",NA,34,16,3,"W 5",18006,02:22:00,NA,NA,NA
54,"2/15/24","NYR","Montreal Canadiens",7,4,"W",NA,35,16,3,"W 6",18006,02:45:00,NA,NA,NA
56,"2/20/24","NYR","Dallas Stars",3,1,"W",NA,37,16,3,"W 8",18006,02:29:00,NA,NA,NA
60,"2/28/24","NYR","Columbus Blue Jackets",4,1,"W",NA,40,17,3,"W 1",18006,02:33:00,NA,NA,NA
62,"3/4/24","NYR","Florida Panthers",2,4,"L",NA,40,18,4,"L 2",18006,02:30:00,NA,NA,NA
63,"3/9/24","NYR","St. Louis Blues",4,0,"W",NA,41,18,4,"W 1",18006,02:23:00,NA,NA,NA
64,"3/11/24","NYR","New Jersey Devils",3,1,"W",NA,42,18,4,"W 2",18006,02:21:00,NA,NA,NA
68,"3/17/24","NYR","New York Islanders",5,2,"W",NA,45,19,4,"W 2",18006,02:26:00,NA,NA,NA
69,"3/19/24","NYR","Winnipeg Jets",2,4,"L",NA,45,20,4,"L 1",18006,02:30:00,NA,NA,NA
71,"3/23/24","NYR","Florida Panthers",4,3,"W","SO",47,20,4,"W 2",18006,02:44:00,NA,NA,NA
72,"3/26/24","NYR","Philadelphia Flyers",6,5,"W","OT",48,20,4,"W 3",18006,02:40:00,NA,NA,NA
75,"4/1/24","NYR","Pittsburgh Penguins",2,5,"L",NA,50,21,4,"L 1",18006,02:30:00,NA,NA,NA
76,"4/3/24","NYR","New Jersey Devils",4,3,"W",NA,51,21,4,"W 1",18006,02:38:00,NA,NA,NA
78,"4/7/24","NYR","Montreal Canadiens",5,2,"W",NA,53,21,4,"W 3",17854,02:29:00,NA,NA,NA
80,"4/11/24","NYR","Philadelphia Flyers",1,4,"L",NA,53,23,4,"L 2",18006,02:26:00,NA,NA,NA
81,"4/13/24","NYR","New York Islanders",3,2,"W","SO",54,23,4,"W 1",18006,02:49:00,NA,NA,NA
82,"4/15/24","NYR","Ottawa Senators",4,0,"W",NA,55,23,4,"W 2",18006,02:23:00,NA,NA,NA
2,"10/12/24","NYR","Utah Hockey Club",5,6,"L","OT",1,0,1,"L 1",18006,02:45:00,NA,NA,NA
3,"10/14/24","NYR","Detroit Red Wings",4,1,"W",NA,2,0,1,"W 1",17510,02:35:00,NA,NA,NA
7,"10/24/24","NYR","Florida Panthers",1,3,"L",NA,5,1,1,"L 1",18006,02:23:00,NA,NA,NA
8,"10/26/24","NYR","Anaheim Ducks",2,1,"W",NA,6,1,1,"W 1",18006,02:32:00,NA,NA,NA
10,"11/1/24","NYR","Ottawa Senators",2,1,"W",NA,7,2,1,"W 1",18006,02:29:00,NA,NA,NA
11,"11/3/24","NYR","New York Islanders",5,2,"W",NA,8,2,1,"W 2",18006,02:32:00,NA,NA,NA
12,"11/7/24","NYR","Buffalo Sabres",1,6,"L",NA,8,3,1,"L 1",18006,02:28:00,NA,NA,NA
14,"11/12/24","NYR","Winnipeg Jets",3,6,"L",NA,9,4,1,"L 1",18006,02:25:00,NA,NA,NA
15,"11/14/24","NYR","San Jose Sharks",3,2,"W",NA,10,4,1,"W 1",18006,02:26:00,NA,NA,NA
20,"11/25/24","NYR","St. Louis Blues",2,5,"L",NA,12,7,1,"L 3",18006,02:23:00,NA,NA,NA
23,"11/30/24","NYR","Montreal Canadiens",4,3,"W",NA,13,9,1,"W 1",18006,02:47:00,NA,NA,NA
24,"12/2/24","NYR","New Jersey Devils",1,5,"L",NA,13,10,1,"L 1",18006,02:32:00,NA,NA,NA
25,"12/6/24","NYR","Pittsburgh Penguins",4,2,"W",NA,14,10,1,"W 1",18006,02:29:00,NA,NA,NA
26,"12/8/24","NYR","Seattle Kraken",5,7,"L",NA,14,11,1,"L 1",18006,02:34:00,NA,NA,NA
27,"12/9/24","NYR","Chicago Blackhawks",1,2,"L",NA,14,12,1,"L 2",18006,02:14:00,NA,NA,NA
29,"12/14/24","NYR","Los Angeles Kings",1,5,"L",NA,15,13,1,"L 1",18006,02:25:00,NA,NA,NA
33,"12/22/24","NYR","Carolina Hurricanes",1,3,"L",NA,16,16,1,"L 1",18006,02:26:00,NA,NA,NA
37,"1/2/25","NYR","Boston Bruins",2,1,"W",NA,17,19,1,"W 1",18006,02:33:00,NA,NA,NA
40,"1/7/25","NYR","Dallas Stars",4,5,"L","OT",18,20,2,"L 1",17528,02:30:00,NA,NA,NA
41,"1/9/25","NYR","New Jersey Devils",3,2,"W","OT",19,20,2,"W 1",18006,02:29:00,NA,NA,NA
45,"1/18/25","NYR","Columbus Blue Jackets",1,0,"W","SO",22,20,3,"W 2",18006,02:28:00,NA,NA,NA
47,"1/21/25","NYR","Ottawa Senators",5,0,"W",NA,23,20,4,"W 1",17662,02:32:00,NA,NA,NA
48,"1/23/25","NYR","Philadelphia Flyers",6,1,"W",NA,24,20,4,"W 2",18006,02:31:00,NA,NA,NA
49,"1/26/25","NYR","Colorado Avalanche",4,5,"L",NA,24,21,4,"L 1",18006,02:26:00,NA,NA,NA
50,"1/28/25","NYR","Carolina Hurricanes",0,4,"L",NA,24,22,4,"L 2",17629,02:25:00,NA,NA,NA
52,"2/2/25","NYR","Vegas Golden Knights",4,2,"W",NA,25,23,4,"W 1",18006,02:36:00,NA,NA,NA
53,"2/5/25","NYR","Boston Bruins",3,2,"W",NA,26,23,4,"W 2",18006,02:32:00,NA,NA,NA
54,"2/7/25","NYR","Pittsburgh Penguins",2,3,"L",NA,26,24,4,"L 1",18006,02:21:00,NA,NA,NA
59,"2/28/25","NYR","Toronto Maple Leafs",2,3,"L",NA,29,26,4,"L 1",18006,02:33:00,NA,NA,NA
60,"3/2/25","NYR","Nashville Predators",4,0,"W",NA,30,26,4,"W 1",17336,02:32:00,NA,NA,NA
61,"3/3/25","NYR","New York Islanders",4,0,"W",NA,31,26,4,"W 2",17475,02:25:00,NA,NA,NA
62,"3/5/25","NYR","Washington Capitals",2,3,"L","OT",31,26,5,"L 1",18006,02:42:00,NA,NA,NA
