GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/10/23,@,Vegas Golden Knights,1,4,L,,0,1,0,L 1,"18,724",2:22,
2,10/12/23,@,Nashville Predators,0,3,L,,0,2,0,L 2,"17,629",2:21,
3,10/14/23,@,St. Louis Blues,1,2,L,SO,0,2,1,L 3,"18,096",2:33,
4,10/17/23,,Colorado Avalanche,1,4,L,,0,3,1,L 4,"17,151",2:35,
5,10/19/23,,Carolina Hurricanes,7,4,W,,1,3,1,W 1,"17,151",2:36,
6,10/21/23,,New York Rangers,1,4,L,,1,4,1,L 1,"17,151",2:38,
7,10/24/23,@,Detroit Red Wings,5,4,W,OT,2,4,1,W 1,"16,894",2:40,
8,10/26/23,@,Carolina Hurricanes,2,3,L,OT,2,4,2,L 1,"18,780",2:38,
9,10/28/23,@,Florida Panthers,2,3,L,,2,5,2,L 2,"16,780",2:33,
10,10/30/23,@,Tampa Bay Lightning,4,3,W,OT,3,5,2,W 1,"19,092",2:30,
11,11/2/23,,Nashville Predators,4,2,W,,4,5,2,W 2,"17,151",2:24,
12,11/4/23,,Calgary Flames,3,6,L,,4,6,2,L 1,"17,151",2:19,
13,11/7/23,@,Arizona Coyotes,3,4,L,SO,4,6,3,L 2,"4,600",2:40,
14,11/9/23,@,Colorado Avalanche,4,3,W,,5,6,3,W 1,"18,124",2:29,
15,11/11/23,,Edmonton Oilers,1,4,L,,5,7,3,L 1,"17,151",2:31,
16,11/13/23,,Colorado Avalanche,1,5,L,,5,8,3,L 2,"17,151",2:37,
17,11/15/23,@,Edmonton Oilers,3,4,L,OT,5,8,4,L 3,"18,347",2:40,
18,11/16/23,,New York Islanders,4,3,W,SO,6,8,4,W 1,"17,151",2:46,
19,11/18/23,@,Vancouver Canucks,4,3,W,,7,8,4,W 2,"18,857",2:28,
20,11/20/23,,Calgary Flames,3,4,L,OT,7,8,5,L 1,"17,151",2:33,
21,11/22/23,,San Jose Sharks,7,1,W,,8,8,5,W 1,"17,151",2:25,
22,11/24/23,,Vancouver Canucks,1,5,L,,8,9,5,L 1,"17,151",2:31,
23,11/28/23,@,Chicago Blackhawks,3,4,L,,8,10,5,L 2,"17,070",2:34,
24,11/30/23,@,Toronto Maple Leafs,3,4,L,SO,8,10,6,L 3,"18,366",2:38,
25,12/2/23,@,Ottawa Senators,0,2,L,,8,11,6,L 4,"18,159",2:28,
26,12/4/23,@,Montreal Canadiens,2,4,L,,8,12,6,L 5,"20,915",2:22,
27,12/7/23,,New Jersey Devils,1,2,L,,8,13,6,L 6,"17,151",2:23,
28,12/9/23,,Tampa Bay Lightning,3,4,L,OT,8,13,7,L 7,"17,151",2:32,
29,12/10/23,,Minnesota Wild,0,3,L,,8,14,7,L 8,"17,151",2:29,
30,12/12/23,,Florida Panthers,4,0,W,,9,14,7,W 1,"17,151",2:28,
31,12/14/23,,Chicago Blackhawks,7,1,W,,10,14,7,W 2,"17,151",2:19,
32,12/16/23,,Los Angeles Kings,2,3,L,SO,10,14,8,L 1,"17,151",2:42,
33,12/18/23,@,Dallas Stars,3,4,L,OT,10,14,9,L 2,"18,532",2:32,
34,12/20/23,@,Los Angeles Kings,2,1,W,,11,14,9,W 1,"18,145",2:28,
35,12/23/23,@,Anaheim Ducks,3,2,W,,12,14,9,W 2,"14,608",2:28,
36,12/27/23,@,Calgary Flames,2,1,W,,13,14,9,W 3,"18,881",2:23,
37,12/29/23,,Philadelphia Flyers,2,1,W,OT,14,14,9,W 4,"17,151",2:26,
38,1/1/24,,Vegas Golden Knights,3,0,W,,15,14,9,W 5,"47,313",2:35,"at T-Mobile Park (Seattle, WA)"
39,1/4/24,,Ottawa Senators,4,1,W,,16,14,9,W 6,"17,151",2:20,
40,1/9/24,@,Buffalo Sabres,5,2,W,,17,14,9,W 7,"14,628",2:19,
41,1/11/24,@,Washington Capitals,4,1,W,,18,14,9,W 8,"17,935",2:22,
42,1/13/24,@,Columbus Blue Jackets,7,4,W,,19,14,9,W 9,"18,588",2:28,
43,1/15/24,@,Pittsburgh Penguins,0,3,L,,19,15,9,L 1,"18,202",2:23,
44,1/16/24,@,New York Rangers,2,5,L,,19,16,9,L 2,"18,006",2:19,
45,1/18/24,@,Edmonton Oilers,2,4,L,,19,17,9,L 3,"18,347",2:33,
46,1/21/24,,Toronto Maple Leafs,1,3,L,,19,18,9,L 4,"17,151",2:24,
47,1/24/24,,Chicago Blackhawks,6,2,W,,20,18,9,W 1,"17,151",2:29,
48,1/26/24,,St. Louis Blues,3,4,L,OT,20,18,10,L 1,"17,151",2:27,
49,1/28/24,,Columbus Blue Jackets,4,2,W,,21,18,10,W 1,"17,151",2:28,
50,1/30/24,@,San Jose Sharks,0,2,L,,21,19,10,L 1,"10,988",2:20,
51,2/10/24,@,Philadelphia Flyers,2,3,L,,21,20,10,L 2,"18,926",2:35,
52,2/12/24,@,New Jersey Devils,1,3,L,,21,21,10,L 3,"14,511",2:23,
53,2/13/24,@,New York Islanders,2,1,W,SO,22,21,10,W 1,"17,255",2:35,
54,2/15/24,@,Boston Bruins,4,1,W,,23,21,10,W 2,"17,850",2:22,
55,2/19/24,,Detroit Red Wings,3,4,L,OT,23,21,11,L 1,"17,151",2:29,
56,2/22/24,,Vancouver Canucks,5,2,W,,24,21,11,W 1,"17,151",2:27,
57,2/24/24,,Minnesota Wild,2,5,L,,24,22,11,L 1,"17,151",2:36,
58,2/26/24,,Boston Bruins,4,3,W,SO,25,22,11,W 1,"17,151",2:47,
59,2/29/24,,Pittsburgh Penguins,2,0,W,,26,22,11,W 2,"17,151",2:22,
60,3/2/24,,Edmonton Oilers,1,2,L,,26,23,11,L 1,"17,151",2:21,
61,3/4/24,@,Calgary Flames,4,2,W,,27,23,11,W 1,"16,516",2:41,
62,3/5/24,@,Winnipeg Jets,4,3,W,,28,23,11,W 2,"13,125",2:20,
63,3/8/24,,Winnipeg Jets,0,3,L,,28,24,11,L 1,"17,151",2:17,
64,3/12/24,,Vegas Golden Knights,4,5,L,OT,28,24,12,L 2,"17,151",2:30,
65,3/14/24,,Washington Capitals,1,2,L,,28,25,12,L 3,"17,151",2:24,
66,3/16/24,,Nashville Predators,1,4,L,,28,26,12,L 4,"17,151",2:24,
67,3/18/24,,Buffalo Sabres,2,6,L,,28,27,12,L 5,"17,151",2:20,
68,3/21/24,@,Vegas Golden Knights,1,3,L,,28,28,12,L 6,"18,033",2:34,
69,3/22/24,@,Arizona Coyotes,1,2,L,OT,28,28,13,L 7,"4,600",2:35,
70,3/24/24,,Montreal Canadiens,1,5,L,,28,29,13,L 8,"17,151",2:25,
71,3/26/24,,Anaheim Ducks,4,0,W,,29,29,13,W 1,"17,151",2:20,
72,3/28/24,,Anaheim Ducks,4,2,W,,30,29,13,W 2,"17,151",2:30,
73,3/30/24,,Dallas Stars,0,3,L,,30,30,13,L 1,"17,151",2:27,
74,4/1/24,@,San Jose Sharks,4,2,W,,31,30,13,W 1,"11,559",2:24,
75,4/3/24,@,Los Angeles Kings,2,5,L,,31,31,13,L 1,"18,145",2:26,
76,4/5/24,@,Anaheim Ducks,3,1,W,,32,31,13,W 1,"17,174",2:23,
77,4/9/24,,Arizona Coyotes,5,0,W,,33,31,13,W 2,"17,151",2:26,
78,4/11/24,,San Jose Sharks,1,3,L,,33,32,13,L 1,"17,151",2:25,
79,4/13/24,@,Dallas Stars,1,3,L,,33,33,13,L 2,"18,532",2:23,
80,4/14/24,@,St. Louis Blues,1,4,L,,33,34,13,L 3,"18,096",2:19,
81,4/16/24,@,Winnipeg Jets,3,4,L,,33,35,13,L 4,"15,225",2:12,
82,4/18/24,@,Minnesota Wild,4,3,W,,34,35,13,W 1,"19,138",2:26,
