GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
39,12/27/25,7:00 PM,@,Buffalo Sabres,1,4,L,,20,18,1,L 5,19070,2:19,
40,12/29/25,9:00 PM,@,Calgary Flames,1,2,L,OT,20,18,2,L 6,17536,2:33,
41,12/31/25,9:30 PM,@,Edmonton Oilers,6,2,W,,21,18,2,W 1,18347,2:35,
42,1/3/26,10:00 PM,@,Vancouver Canucks,3,2,W,OT,22,18,2,W 2,18665,2:37,
43,1/6/26,10:00 PM,@,Seattle Kraken,4,7,L,,22,19,2,L 1,17151,2:36,
44,1/8/26,7:00 PM,,Calgary Flames,4,1,W,,23,19,2,W 1,17850,2:26,
45,1/10/26,1:00 PM,,New York Rangers,10,2,W,,24,19,2,W 2,17850,2:45,
46,1/11/26,5:00 PM,,Pittsburgh Penguins,1,0,W,,25,19,2,W 3,17850,2:26,
47,1/13/26,7:30 PM,,Detroit Red Wings,3,0,W,,26,19,2,W 4,17850,2:35,
48,1/15/26,8:00 PM,,Seattle Kraken,4,2,W,,27,19,2,W 5,17850,2:26,
49,1/17/26,8:00 PM,@,Chicago Blackhawks,5,2,W,,28,19,2,W 6,20388,2:22,
50,1/20/26,7:30 PM,@,Dallas Stars,2,6,L,,28,20,2,L 1,18532,2:32,
51,1/22/26,7:00 PM,,Vegas Golden Knights,4,3,W,,29,20,2,W 1,17850,2:35,
52,1/24/26,7:00 PM,,Montreal Canadiens,4,3,W,,30,20,2,W 2,17850,2:39,
53,1/26/26,7:00 PM,@,New York Rangers,3,4,L,OT,30,20,3,L 1,17469,2:37,
54,1/27/26,7:00 PM,,Nashville Predators,3,2,W,OT,31,20,3,W 1,17850,2:29,
55,1/29/26,7:00 PM,,Philadelphia Flyers,6,3,W,,32,20,3,W 2,17850,2:32,
56,2/1/26,6:30 PM,@,Tampa Bay Lightning,5,6,L,SO,32,20,4,L 1,64617,3:18,"at Raymond James Stadium (Tampa, FL)"
57,2/4/26,7:00 PM,@,Florida Panthers,4,5,L,SO,32,20,5,L 2,18843,3:04,
58,2/26/26,7:00 PM,,Columbus Blue Jackets,4,2,W,,33,20,5,W 1,17850,2:32,
59,2/28/26,3:00 PM,@,Philadelphia Flyers,1,3,L,,33,21,5,L 1,19872,2:33,
60,3/3/26,7:00 PM,,Pittsburgh Penguins,2,1,W,,34,21,5,W 1,17850,2:25,
61,3/5/26,8:00 PM,@,Nashville Predators,3,6,L,,34,22,5,L 1,17330,2:40,
62,3/7/26,12:30 PM,,Washington Capitals,3,1,W,,35,22,5,W 1,17850,2:24,
63,3/8/26,4:30 PM,@,Pittsburgh Penguins,4,5,L,OT,35,22,6,L 1,18029,2:39,
64,3/10/26,7:00 PM,,Los Angeles Kings,2,1,W,OT,36,22,6,W 1,17850,2:31,
65,3/12/26,7:00 PM,,San Jose Sharks,2,4,L,,36,23,6,L 1,17850,2:31,
66,3/14/26,3:00 PM,@,Washington Capitals,3,2,W,SO,37,23,6,W 1,18347,2:54,
67,3/16/26,7:00 PM,@,New Jersey Devils,3,4,L,OT,37,23,7,L 1,16034,2:51,
68,3/17/26,7:00 PM,@,Montreal Canadiens,2,3,L,OT,37,23,8,L 2,20962,2:37,
69,3/19/26,7:00 PM,,Winnipeg Jets,6,1,W,,38,23,8,W 1,17850,2:26,
70,3/21/26,8:00 PM,@,Detroit Red Wings,4,2,W,,39,23,8,W 2,19515,2:29,
71,3/24/26,7:00 PM,,Toronto Maple Leafs,2,4,L,,39,24,8,L 1,17850,2:38,
72,3/25/26,7:30 PM,@,Buffalo Sabres,4,3,W,OT,40,24,8,W 1,19070,2:39,
73,3/28/26,5:00 PM,,Minnesota Wild,6,3,W,,41,24,8,W 2,17850,2:30,
74,3/29/26,5:00 PM,@,Columbus Blue Jackets,4,3,W,SO,42,24,8,W 3,18684,2:51,
75,3/31/26,7:00 PM,,Dallas Stars,6,3,W,,43,24,8,W 4,17850,2:28,
76,4/2/26,7:00 PM,@,Florida Panthers,1,2,L,,43,25,8,L 1,19823,2:30,
77,4/4/26,5:00 PM,@,Tampa Bay Lightning,1,3,L,,43,26,8,L 2,19092,2:42,
78,4/5/26,3:30 PM,@,Philadelphia Flyers,1,2,L,OT,43,26,9,L 3,19133,2:42,
79,4/7/26,7:00 PM,@,Carolina Hurricanes,5,6,L,OT,43,26,10,L 4,18571,2:47,
80,4/11/26,12:30 PM,,Tampa Bay Lightning,1,2,L,,43,27,10,L 5,17850,2:23,
81,4/12/26,6:00 PM,@,Columbus Blue Jackets,3,2,W,,44,27,10,W 1,18532,2:30,
82,4/14/26,7:00 PM,,New Jersey Devils,4,0,W,,45,27,10,W 2,17850,2:27,
