GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/11/23,@,Toronto Maple Leafs,5,6,L,SO,0,0,1,L 1,"18,948",2:46,
2,10/14/23,,Chicago Blackhawks,3,2,W,,1,0,1,W 1,"21,105",2:26,
3,10/17/23,,Minnesota Wild,2,5,L,,1,1,1,L 1,"21,105",2:36,
4,10/21/23,,Washington Capitals,3,2,W,OT,2,1,1,W 1,"21,105",2:31,
5,10/23/23,@,Buffalo Sabres,3,1,W,,3,1,1,W 2,"13,507",2:22,
6,10/24/23,,New Jersey Devils,2,5,L,,3,2,1,L 1,"21,105",2:32,
7,10/26/23,,Columbus Blue Jackets,4,3,W,OT,4,2,1,W 1,"21,105",2:35,
8,10/28/23,,Winnipeg Jets,4,3,W,SO,5,2,1,W 2,"21,105",2:41,
9,10/30/23,@,Vegas Golden Knights,2,3,L,SO,5,2,2,L 1,"17,791",2:43,
10,11/2/23,@,Arizona Coyotes,2,3,L,,5,3,2,L 2,"4,600",2:33,
11,11/4/23,@,St. Louis Blues,3,6,L,,5,4,2,L 3,"18,096",2:29,
12,11/7/23,,Tampa Bay Lightning,3,5,L,,5,5,2,L 4,"21,105",2:32,
13,11/9/23,@,Detroit Red Wings,3,2,W,OT,6,5,2,W 1,"18,504",2:40,
14,11/11/23,,Boston Bruins,3,2,W,OT,7,5,2,W 2,"21,105",2:28,
15,11/12/23,,Vancouver Canucks,2,5,L,,7,6,2,L 1,"21,105",2:19,
16,11/14/23,,Calgary Flames,1,2,L,,7,7,2,L 2,"21,105",2:29,
17,11/16/23,,Vegas Golden Knights,5,6,L,,7,8,2,L 3,"21,105",2:39,
18,11/18/23,@,Boston Bruins,2,5,L,,7,9,2,L 4,"17,850",2:29,
19,11/22/23,@,Anaheim Ducks,4,3,W,,8,9,2,W 1,"15,168",2:31,
20,11/24/23,@,San Jose Sharks,3,2,W,SO,9,9,2,W 2,"16,897",2:35,
21,11/25/23,@,Los Angeles Kings,0,4,L,,9,10,2,L 1,"18,145",2:24,
22,11/29/23,@,Columbus Blue Jackets,4,2,W,,10,10,2,W 1,"14,316",2:12,
23,11/30/23,,Florida Panthers,1,5,L,,10,11,2,L 1,"21,105",2:31,
24,12/2/23,,Detroit Red Wings,4,5,L,OT,10,11,3,L 2,"21,105",2:34,
25,12/4/23,,Seattle Kraken,4,2,W,,11,11,3,W 1,"20,915",2:22,
26,12/7/23,,Los Angeles Kings,0,4,L,,11,12,3,L 1,"21,105",2:27,
27,12/9/23,@,Buffalo Sabres,3,2,W,SO,12,12,3,W 1,"17,123",2:43,
28,12/10/23,,Nashville Predators,1,2,L,,12,13,3,L 1,"20,864",2:32,
29,12/13/23,,Pittsburgh Penguins,3,4,L,SO,12,13,4,L 2,"21,105",2:50,
30,12/16/23,,New York Islanders,5,3,W,,13,13,4,W 1,"21,105",2:23,
31,12/18/23,@,Winnipeg Jets,3,2,W,OT,14,13,4,W 2,"13,363",2:29,
32,12/21/23,@,Minnesota Wild,3,4,L,OT,14,13,5,L 1,"18,387",2:38,
33,12/22/23,@,Chicago Blackhawks,5,2,W,,15,13,5,W 1,"20,340",2:25,
34,12/28/23,@,Carolina Hurricanes,3,5,L,,15,14,5,L 1,"18,969",2:38,
35,12/30/23,@,Florida Panthers,1,4,L,,15,15,5,L 2,"19,663",2:24,
36,12/31/23,@,Tampa Bay Lightning,3,4,L,,15,16,5,L 3,"19,092",2:33,
37,1/2/24,@,Dallas Stars,4,3,W,,16,16,5,W 1,"18,532",2:24,
38,1/4/24,,Buffalo Sabres,1,6,L,,16,17,5,L 1,"21,105",2:35,
39,1/6/24,,New York Rangers,4,3,W,SO,17,17,5,W 1,"21,105",2:34,
