GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
40,1/10/24,@,Philadelphia Flyers,2,3,L,SO,17,17,6,L 1,"18,238",2:38,
41,1/11/24,,San Jose Sharks,2,3,L,,17,18,6,L 2,"21,105",2:30,
42,1/13/24,,Edmonton Oilers,1,2,L,OT,17,18,7,L 3,"21,105",2:37,
43,1/15/24,,Colorado Avalanche,4,3,W,,18,18,7,W 1,"21,205",2:36,
44,1/17/24,@,New Jersey Devils,3,2,W,,19,18,7,W 2,"16,022",2:19,
45,1/18/24,@,Ottawa Senators,2,6,L,,19,19,7,L 1,"19,286",2:32,
46,1/20/24,@,Boston Bruins,4,9,L,,19,20,7,L 2,"17,850",2:32,
47,1/23/24,,Ottawa Senators,1,4,L,,19,21,7,L 3,"21,105",2:23,
48,1/25/24,,New York Islanders,4,3,W,,20,21,7,W 1,"21,105",2:34,
49,1/27/24,@,Pittsburgh Penguins,2,3,L,OT,20,21,8,L 1,"18,377",2:28,
50,2/6/24,@,Washington Capitals,5,2,W,,21,21,8,W 1,"16,959",2:29,
51,2/10/24,,Dallas Stars,2,3,L,,21,22,8,L 1,"21,105",2:29,
52,2/11/24,,St. Louis Blues,2,7,L,,21,23,8,L 2,"21,105",2:36,
53,2/13/24,,Anaheim Ducks,5,0,W,,22,23,8,W 1,"21,105",2:26,
54,2/15/24,@,New York Rangers,4,7,L,,22,24,8,L 1,"18,006",2:45,
55,2/17/24,,Washington Capitals,3,4,L,,22,25,8,L 2,"21,105",2:31,
56,2/21/24,,Buffalo Sabres,2,3,L,,22,26,8,L 3,"21,105",2:22,
57,2/22/24,@,Pittsburgh Penguins,1,4,L,,22,27,8,L 4,"17,160",2:24,
58,2/24/24,@,New Jersey Devils,3,4,L,,22,28,8,L 5,"16,514",2:21,
59,2/27/24,,Arizona Coyotes,4,2,W,,23,28,8,W 1,"21,105",2:27,
60,2/29/24,@,Florida Panthers,3,4,L,SO,23,28,9,L 1,"18,918",2:46,
61,3/2/24,@,Tampa Bay Lightning,3,4,L,SO,23,28,10,L 2,"19,092",2:51,
62,3/5/24,@,Nashville Predators,4,3,W,OT,24,28,10,W 1,"17,159",2:33,
63,3/7/24,@,Carolina Hurricanes,1,4,L,,24,29,10,L 1,"18,859",2:31,
64,3/9/24,,Toronto Maple Leafs,2,3,L,,24,30,10,L 2,"21,105",2:37,
65,3/12/24,,Columbus Blue Jackets,3,0,W,,25,30,10,W 1,"21,105",2:22,
66,3/14/24,,Boston Bruins,1,2,L,OT,25,30,11,L 1,"21,105",2:21,
67,3/16/24,@,Calgary Flames,2,5,L,,25,31,11,L 2,"19,183",2:25,
68,3/19/24,@,Edmonton Oilers,2,3,L,OT,25,31,12,L 3,"18,347",2:32,
69,3/21/24,@,Vancouver Canucks,1,4,L,,25,32,12,L 4,"18,804",2:22,
70,3/24/24,@,Seattle Kraken,5,1,W,,26,32,12,W 1,"17,151",2:25,
71,3/26/24,@,Colorado Avalanche,2,1,W,,27,32,12,W 2,"18,119",2:29,
72,3/28/24,,Philadelphia Flyers,4,1,W,,28,32,12,W 3,"21,205",2:40,
73,3/30/24,,Carolina Hurricanes,0,3,L,,28,33,12,L 1,"21,105",2:24,
74,4/2/24,,Florida Panthers,5,3,W,,29,33,12,W 1,"21,105",2:39,
75,4/4/24,,Tampa Bay Lightning,4,7,L,,29,34,12,L 1,"21,105",2:37,
76,4/6/24,,Toronto Maple Leafs,2,4,L,,29,35,12,L 2,"21,105",2:28,
77,4/7/24,@,New York Rangers,2,5,L,,29,36,12,L 3,"17,854",2:29,
78,4/9/24,,Philadelphia Flyers,9,3,W,,30,36,12,W 1,"21,105",2:34,
79,4/11/24,@,New York Islanders,2,3,L,OT,30,36,13,L 1,"17,255",2:26,
80,4/13/24,@,Ottawa Senators,4,5,L,SO,30,36,14,L 2,"19,337",2:39,
81,4/15/24,@,Detroit Red Wings,4,5,L,OT,30,36,15,L 3,"19,515",2:34,
82,4/16/24,,Detroit Red Wings,4,5,L,SO,30,36,16,L 4,"21,105",2:40,
