GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/11/23,,Edmonton Oilers,8,1,W,,1,0,0,W 1,"18,706",2:33,
2,10/14/23,@,Edmonton Oilers,4,3,W,,2,0,0,W 2,"18,347",2:30,
3,10/17/23,@,Philadelphia Flyers,0,2,L,,2,1,0,L 1,"18,883",2:28,
4,10/19/23,@,Tampa Bay Lightning,3,4,L,,2,2,0,L 2,"19,092",2:32,
5,10/21/23,@,Florida Panthers,5,3,W,,3,2,0,W 1,"16,991",2:24,
6,10/24/23,@,Nashville Predators,3,2,W,,4,2,0,W 2,"17,159",2:17,
7,10/27/23,,St. Louis Blues,5,0,W,,5,2,0,W 3,"18,548",2:23,
8,10/28/23,,New York Rangers,3,4,L,OT,5,2,1,L 1,"18,483",2:31,
9,10/31/23,,Nashville Predators,5,2,W,,6,2,1,W 1,"18,413",2:23,
10,11/2/23,@,San Jose Sharks,10,1,W,,7,2,1,W 2,"10,719",2:32,
11,11/4/23,,Dallas Stars,2,0,W,,8,2,1,W 3,"18,895",2:25,
12,11/6/23,,Edmonton Oilers,6,2,W,,9,2,1,W 4,"18,857",2:44,
13,11/9/23,@,Ottawa Senators,5,2,W,,10,2,1,W 5,"16,653",2:22,
14,11/11/23,@,Toronto Maple Leafs,2,5,L,,10,3,1,L 1,"19,107",2:26,
15,11/12/23,@,Montreal Canadiens,5,2,W,,11,3,1,W 1,"21,105",2:19,
16,11/15/23,,New York Islanders,4,3,W,OT,12,3,1,W 2,"18,972",2:42,
17,11/16/23,@,Calgary Flames,2,5,L,,12,4,1,L 1,"17,501",2:33,
18,11/18/23,,Seattle Kraken,3,4,L,,12,5,1,L 2,"18,857",2:28,
19,11/20/23,,San Jose Sharks,3,1,W,,13,5,1,W 1,"18,718",2:26,
20,11/22/23,@,Colorado Avalanche,2,5,L,,13,6,1,L 1,"18,133",2:32,
21,11/24/23,@,Seattle Kraken,5,1,W,,14,6,1,W 1,"17,151",2:31,
22,11/25/23,@,San Jose Sharks,3,4,L,,14,7,1,L 1,"15,538",2:36,
23,11/28/23,,Anaheim Ducks,3,1,W,,15,7,1,W 1,"18,639",2:21,
