GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
24,11/30/23,,Vegas Golden Knights,1,4,L,,15,8,1,L 1,"18,856",2:19,
25,12/2/23,@,Calgary Flames,4,3,W,,16,8,1,W 1,"19,079",2:29,
26,12/5/23,,New Jersey Devils,5,6,L,,16,9,1,L 1,"18,983",2:30,
27,12/7/23,,Minnesota Wild,2,0,W,,17,9,1,W 1,"18,667",2:41,
28,12/9/23,,Carolina Hurricanes,4,3,W,,18,9,1,W 2,"18,586",2:31,
29,12/12/23,,Tampa Bay Lightning,4,1,W,,19,9,1,W 3,"18,771",2:22,
30,12/14/23,,Florida Panthers,4,0,W,,20,9,1,W 4,"18,873",2:19,
31,12/16/23,@,Minnesota Wild,1,2,L,SO,20,9,2,L 1,"18,519",2:39,
32,12/17/23,@,Chicago Blackhawks,4,3,W,,21,9,2,W 1,"19,302",2:19,
33,12/19/23,@,Nashville Predators,5,2,W,,22,9,2,W 2,"17,159",2:22,
34,12/21/23,@,Dallas Stars,3,4,L,OT,22,9,3,L 1,"18,532",2:32,
35,12/23/23,,San Jose Sharks,7,4,W,,23,9,3,W 1,"18,875",2:32,
36,12/28/23,,Philadelphia Flyers,1,4,L,,23,10,3,L 1,"18,986",2:27,
37,1/2/24,,Ottawa Senators,6,3,W,,24,10,3,W 1,"18,810",2:22,
38,1/4/24,@,St. Louis Blues,1,2,L,,24,11,3,L 1,"18,096",2:23,
39,1/6/24,@,New Jersey Devils,6,4,W,,25,11,3,W 1,"16,157",2:36,
40,1/8/24,@,New York Rangers,6,3,W,,26,11,3,W 2,"18,006",2:28,
41,1/9/24,@,New York Islanders,5,2,W,,27,11,3,W 3,"15,690",2:20,
42,1/11/24,@,Pittsburgh Penguins,4,3,W,OT,28,11,3,W 4,"18,190",2:32,
43,1/13/24,@,Buffalo Sabres,1,0,W,,29,11,3,W 5,"17,662",2:35,
44,1/15/24,@,Columbus Blue Jackets,3,4,L,SO,29,11,4,L 1,"17,622",2:31,
45,1/18/24,,Arizona Coyotes,2,1,W,,30,11,4,W 1,"19,005",2:30,
46,1/20/24,,Toronto Maple Leafs,6,4,W,,31,11,4,W 2,"18,865",2:33,
47,1/22/24,,Chicago Blackhawks,2,0,W,,32,11,4,W 3,"18,714",2:12,
48,1/24/24,,St. Louis Blues,3,4,L,OT,32,11,5,L 1,"19,003",2:26,
49,1/27/24,,Columbus Blue Jackets,5,4,W,OT,33,11,5,W 1,"19,002",2:44,
50,2/6/24,@,Carolina Hurricanes,3,2,W,,34,11,5,W 2,"18,700",2:22,
51,2/8/24,@,Boston Bruins,0,4,L,,34,12,5,L 1,"17,850",2:26,
52,2/10/24,@,Detroit Red Wings,3,4,L,OT,34,12,6,L 2,"19,515",2:35,
53,2/11/24,@,Washington Capitals,3,2,W,OT,35,12,6,W 1,"18,573",2:27,
54,2/13/24,@,Chicago Blackhawks,4,2,W,,36,12,6,W 2,"16,452",2:22,
55,2/15/24,,Detroit Red Wings,4,1,W,,37,12,6,W 3,"18,947",2:25,
56,2/17/24,,Winnipeg Jets,2,4,L,,37,13,6,L 1,"18,992",2:30,
57,2/19/24,@,Minnesota Wild,7,10,L,,37,14,6,L 2,"19,024",2:37,
58,2/20/24,@,Colorado Avalanche,1,3,L,,37,15,6,L 3,"18,121",2:28,
59,2/22/24,@,Seattle Kraken,2,5,L,,37,16,6,L 4,"17,151",2:27,
60,2/24/24,,Boston Bruins,3,2,W,OT,38,16,6,W 1,"18,924",2:44,
61,2/27/24,,Pittsburgh Penguins,3,4,L,OT,38,16,7,L 1,"18,730",2:31,
62,2/29/24,,Los Angeles Kings,1,5,L,,38,17,7,L 2,"18,801",2:22,
63,3/3/24,@,Anaheim Ducks,2,1,W,,39,17,7,W 1,"15,161",2:18,
64,3/5/24,@,Los Angeles Kings,2,1,W,OT,40,17,7,W 2,"18,145",2:31,
65,3/7/24,@,Vegas Golden Knights,3,1,W,,41,17,7,W 3,"18,054",2:32,
66,3/9/24,,Winnipeg Jets,5,0,W,,42,17,7,W 4,"18,954",2:21,
67,3/13/24,,Colorado Avalanche,3,4,L,OT,42,17,8,L 1,"18,880",2:27,
68,3/16/24,,Washington Capitals,1,2,L,,42,18,8,L 2,"18,859",2:22,
69,3/19/24,,Buffalo Sabres,3,2,W,,43,18,8,W 1,"18,733",2:30,
70,3/21/24,,Montreal Canadiens,4,1,W,,44,18,8,W 2,"18,804",2:22,
71,3/23/24,,Calgary Flames,4,2,W,,45,18,8,W 3,"18,903",2:24,
72,3/25/24,,Los Angeles Kings,2,3,L,,45,19,8,L 1,"18,870",2:24,
73,3/28/24,,Dallas Stars,1,3,L,,45,20,8,L 2,"18,987",2:29,
74,3/31/24,,Anaheim Ducks,3,2,W,,46,20,8,W 1,"18,735",2:29,
75,4/2/24,@,Vegas Golden Knights,3,6,L,,46,21,8,L 1,"18,366",2:35,
76,4/3/24,@,Arizona Coyotes,2,1,W,,47,21,8,W 1,"4,600",2:32,
77,4/6/24,@,Los Angeles Kings,3,6,L,,47,22,8,L 1,"18,190",2:26,
78,4/8/24,,Vegas Golden Knights,4,3,W,,48,22,8,W 1,"18,899",2:28,
79,4/10/24,,Arizona Coyotes,3,4,L,OT,48,22,9,L 1,"18,856",2:39,
80,4/13/24,@,Edmonton Oilers,3,1,W,,49,22,9,W 1,"18,347",2:26,
81,4/16/24,,Calgary Flames,4,1,W,,50,22,9,W 2,"18,918",2:30,
82,4/18/24,@,Winnipeg Jets,2,4,L,,50,23,9,L 1,"15,225",2:19,
