GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/11/23,,Montreal Canadiens,6,5,W,SO,1,0,0,W 1,"18,948",2:46,
2,10/14/23,,Minnesota Wild,7,4,W,,2,0,0,W 2,"18,903",2:36,
3,10/16/23,,Chicago Blackhawks,1,4,L,,2,1,0,L 1,"19,101",2:37,
4,10/19/23,@,Florida Panthers,1,3,L,,2,2,0,L 2,"19,288",2:30,
5,10/21/23,@,Tampa Bay Lightning,4,3,W,OT,3,2,0,W 1,"19,092",2:35,
6,10/24/23,@,Washington Capitals,4,1,W,,4,2,0,W 2,"16,641",2:20,
7,10/26/23,@,Dallas Stars,4,1,W,,5,2,0,W 3,"18,532",2:21,
8,10/28/23,@,Nashville Predators,2,3,L,OT,5,2,1,L 1,"17,537",2:31,
9,10/31/23,,Los Angeles Kings,1,4,L,,5,3,1,L 2,"18,531",2:20,
10,11/2/23,@,Boston Bruins,2,3,L,SO,5,3,2,L 3,"17,850",2:36,
11,11/4/23,,Buffalo Sabres,4,6,L,,5,4,2,L 4,"18,902",2:28,
12,11/6/23,,Tampa Bay Lightning,6,5,W,OT,6,4,2,W 1,"18,445",2:30,
13,11/8/23,,Ottawa Senators,3,6,L,,6,5,2,L 1,"18,372",2:20,
14,11/10/23,,Calgary Flames,5,4,W,SO,7,5,2,W 1,"18,939",2:38,
15,11/11/23,,Vancouver Canucks,5,2,W,,8,5,2,W 2,"19,107",2:26,
16,11/17/23,@,Detroit Red Wings,3,2,W,,9,5,2,W 3,"13,510",2:40,"at Ericsson Globe Arena (Stockholm, SE)"
17,11/19/23,@,Minnesota Wild,4,3,W,OT,10,5,2,W 4,"13,356",2:38,"at Ericsson Globe Arena (Stockholm, SE)"
18,11/24/23,@,Chicago Blackhawks,3,4,L,OT,10,5,3,L 1,"20,238",2:32,
19,11/25/23,@,Pittsburgh Penguins,2,3,L,,10,6,3,L 2,"18,229",2:27,
20,11/28/23,,Florida Panthers,2,1,W,SO,11,6,3,W 1,"18,508",2:46,
21,11/30/23,,Seattle Kraken,4,3,W,SO,12,6,3,W 2,"18,366",2:38,
22,12/2/23,,Boston Bruins,3,4,L,OT,12,6,4,L 1,"18,959",2:40,
23,12/7/23,@,Ottawa Senators,4,3,W,,13,6,4,W 1,"19,309",2:22,
24,12/9/23,,Nashville Predators,4,0,W,,14,6,4,W 2,"18,611",2:23,
25,12/11/23,@,New York Islanders,3,4,L,OT,14,6,5,L 1,"17,255",2:28,
26,12/12/23,@,New York Rangers,7,3,W,,15,6,5,W 1,"18,006",2:26,
27,12/14/23,,Columbus Blue Jackets,5,6,L,OT,15,6,6,L 1,"18,338",2:39,
28,12/16/23,,Pittsburgh Penguins,7,0,W,,16,6,6,W 1,"18,921",2:30,
29,12/19/23,,New York Rangers,2,5,L,,16,7,6,L 1,"19,264",2:22,
30,12/21/23,@,Buffalo Sabres,3,9,L,,16,8,6,L 2,"19,070",2:22,
31,12/23/23,@,Columbus Blue Jackets,4,1,W,,17,8,6,W 1,"17,806",2:24,
32,12/27/23,,Ottawa Senators,2,4,L,,17,9,6,L 1,"19,261",2:30,
33,12/29/23,@,Columbus Blue Jackets,5,6,L,OT,17,9,7,L 2,"18,516",2:37,
