GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
59,2/28/26,10:00 PM,@,Seattle Kraken,1,5,L,,18,34,7,L 5,"17,151",2:24,
60,3/2/26,10:00 PM,,Dallas Stars,1,6,L,,18,35,7,L 6,"18,222",2:26,
61,3/4/26,10:00 PM,,Carolina Hurricanes,4,6,L,,18,36,7,L 7,"18,004",2:31,
62,3/6/26,8:30 PM,@,Chicago Blackhawks,6,3,W,,19,36,7,W 1,"20,580",2:25,
63,3/7/26,7:00 PM,@,Winnipeg Jets,2,3,L,OT,19,36,8,L 1,"14,294",2:22,
64,3/9/26,9:00 PM,,Ottawa Senators,0,2,L,,19,37,8,L 2,"18,228",2:19,
65,3/12/26,10:00 PM,,Nashville Predators,4,3,W,SO,20,37,8,W 1,"18,521",2:29,
66,3/14/26,10:00 PM,,Seattle Kraken,2,5,L,,20,38,8,L 1,"18,611",2:23,
67,3/17/26,10:00 PM,,Florida Panthers,5,2,W,,21,38,8,W 1,"18,355",2:26,
68,3/19/26,10:00 PM,,Tampa Bay Lightning,2,6,L,,21,39,8,L 1,"18,345",2:29,
69,3/21/26,7:00 PM,,St. Louis Blues,1,3,L,,21,40,8,L 2,"18,719",2:20,
70,3/24/26,10:00 PM,,Anaheim Ducks,3,5,L,,21,41,8,L 3,"18,001",2:27,
71,3/26/26,10:00 PM,,Los Angeles Kings,0,4,L,,21,42,8,L 4,"18,611",2:21,
72,3/28/26,10:00 PM,@,Calgary Flames,3,7,L,,21,43,8,L 5,"18,780",2:37,
73,3/30/26,10:00 PM,@,Vegas Golden Knights,2,4,L,,21,44,8,L 6,"17,810",2:33,
74,4/1/26,8:30 PM,@,Colorado Avalanche,8,6,W,,22,44,8,W 1,"18,103",2:32,
75,4/2/26,8:00 PM,@,Minnesota Wild,2,5,L,,22,45,8,L 1,"19,156",2:26,
76,4/4/26,7:00 PM,,Utah Mammoth,4,7,L,,22,46,8,L 2,"18,693",2:39,
77,4/7/26,10:00 PM,,Vegas Golden Knights,1,2,L,,22,47,8,L 3,"18,691",2:27,
78,4/9/26,10:30 PM,@,Los Angeles Kings,1,4,L,,22,48,8,L 4,"18,145",2:25,
79,4/11/26,10:00 PM,@,San Jose Sharks,4,3,W,SO,23,48,8,W 1,"17,435",2:46,
80,4/12/26,8:00 PM,@,Anaheim Ducks,4,3,W,OT,24,48,8,W 2,"16,731",2:39,
81,4/14/26,10:00 PM,,Los Angeles Kings,4,3,W,OT,25,48,8,W 3,"18,969",2:38,
82,4/16/26,9:00 PM,@,Edmonton Oilers,1,6,L,,25,49,8,L 1,"18,347",2:23,
