GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
59,2/26/26,7:00 PM,@,Florida Panthers,1,5,L,,27,23,9,L 2,"19,372",2:27,
60,2/28/26,7:00 PM,,Ottawa Senators,2,5,L,,27,24,9,L 3,"18,952",2:33,
61,3/2/26,7:30 PM,,Philadelphia Flyers,2,3,L,SO,27,24,10,L 4,"18,255",2:40,
62,3/4/26,7:00 PM,@,New Jersey Devils,3,4,L,SO,27,24,11,L 5,"16,186",2:31,
63,3/5/26,7:00 PM,@,New York Rangers,2,6,L,,27,25,11,L 6,"17,262",2:26,
64,3/7/26,7:00 PM,,Tampa Bay Lightning,2,5,L,,27,26,11,L 7,"18,514",2:24,
65,3/10/26,7:00 PM,@,Montreal Canadiens,1,3,L,,27,27,11,L 8,"20,962",2:27,
66,3/12/26,7:00 PM,,Anaheim Ducks,6,4,W,,28,27,11,W 1,"18,456",2:33,
67,3/14/26,7:00 PM,@,Buffalo Sabres,2,3,L,SO,28,27,12,L 1,"19,070",2:37,
68,3/15/26,7:30 PM,@,Minnesota Wild,4,2,W,,29,27,12,W 1,"17,663",2:30,
69,3/17/26,7:00 PM,,New York Islanders,1,3,L,,29,28,12,L 1,"18,949",2:32,
70,3/20/26,7:00 PM,,Carolina Hurricanes,3,4,L,OT,29,28,13,L 2,"18,329",2:25,
71,3/21/26,7:00 PM,@,Ottawa Senators,2,5,L,,29,29,13,L 3,"17,331",2:31,
72,3/24/26,7:00 PM,@,Boston Bruins,4,2,W,,30,29,13,W 1,"17,850",2:38,
73,3/25/26,7:30 PM,,New York Rangers,4,3,W,,31,29,13,W 2,"18,397",2:27,
74,3/28/26,7:00 PM,@,St. Louis Blues,1,5,L,,31,30,13,L 1,"18,096",2:24,
75,3/30/26,10:00 PM,@,Anaheim Ducks,5,4,W,OT,32,30,13,W 1,"15,375",2:44,
76,4/2/26,10:00 PM,@,San Jose Sharks,1,4,L,,32,31,13,L 1,"15,180",2:26,
77,4/4/26,7:00 PM,@,Los Angeles Kings,6,7,L,OT,32,31,14,L 2,"18,145",2:47,
78,4/8/26,7:30 PM,,Washington Capitals,0,4,L,,32,32,14,L 3,"18,640",2:29,
79,4/9/26,6:45 PM,@,New York Islanders,3,5,L,,32,33,14,L 4,"17,255",2:33,
80,4/11/26,7:00 PM,,Florida Panthers,2,6,L,,32,34,14,L 5,"18,327",2:27,
81,4/13/26,7:30 PM,,Dallas Stars,5,6,L,,32,35,14,L 6,"18,460",2:26,
82,4/15/26,7:30 PM,@,Ottawa Senators,1,3,L,,32,36,14,L 7,"15,919",2:22,
