GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/11/23,,Chicago Blackhawks,3,1,W,,1,0,0,W 1,17850,2:29,
2,10/14/23,,Nashville Predators,3,2,W,,2,0,0,W 2,17850,2:33,
3,10/19/23,@,San Jose Sharks,3,1,W,,3,0,0,W 3,12501,2:30,
4,10/21/23,@,Los Angeles Kings,4,2,W,,4,0,0,W 4,18145,2:44,
5,10/22/23,@,Anaheim Ducks,3,1,W,,5,0,0,W 5,14264,2:26,
6,10/24/23,@,Chicago Blackhawks,3,0,W,,6,0,0,W 6,19370,2:36,
7,10/26/23,,Anaheim Ducks,3,4,L,OT,6,0,1,L 1,17850,2:44,
8,10/28/23,,Detroit Red Wings,4,1,W,,7,0,1,W 1,17850,2:25,
9,10/30/23,,Florida Panthers,3,2,W,OT,8,0,1,W 2,17850,2:36,
10,11/2/23,,Toronto Maple Leafs,3,2,W,SO,9,0,1,W 3,17850,2:36,
11,11/4/23,@,Detroit Red Wings,4,5,L,,9,1,1,L 1,18676,2:40,
12,11/6/23,@,Dallas Stars,3,2,W,,10,1,1,W 1,18532,2:37,
13,11/9/23,,New York Islanders,5,2,W,,11,1,1,W 2,17850,2:24,
14,11/11/23,@,Montreal Canadiens,2,3,L,OT,11,1,2,L 1,21105,2:28,
15,11/14/23,@,Buffalo Sabres,5,2,W,,12,1,2,W 1,14840,2:21,
16,11/18/23,,Montreal Canadiens,5,2,W,,13,1,2,W 2,17850,2:29,
17,11/20/23,@,Tampa Bay Lightning,4,5,L,OT,13,1,3,L 1,19092,2:42,
18,11/22/23,@,Florida Panthers,3,1,W,,14,1,3,W 1,19327,2:28,
19,11/24/23,,Detroit Red Wings,2,5,L,,14,2,3,L 1,17850,2:35,
20,11/25/23,@,New York Rangers,4,7,L,,14,3,3,L 2,18006,2:41,
21,11/27/23,@,Columbus Blue Jackets,2,5,L,,14,4,3,L 3,14357,2:30,
22,11/30/23,,San Jose Sharks,3,0,W,,15,4,3,W 1,17850,2:32,
