GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
23,12/2/23,@,Toronto Maple Leafs,4,3,W,OT,16,4,3,W 2,18959,2:40,
24,12/3/23,,Columbus Blue Jackets,3,1,W,,17,4,3,W 3,17850,2:20,
25,12/7/23,,Buffalo Sabres,1,3,L,,17,5,3,L 1,17850,2:24,
26,12/9/23,,Arizona Coyotes,5,3,W,,18,5,3,W 1,17850,2:33,
27,12/13/23,@,New Jersey Devils,1,2,L,OT,18,5,4,L 1,16514,2:33,
28,12/15/23,@,New York Islanders,5,4,W,SO,19,5,4,W 1,17255,2:54,
29,12/16/23,,New York Rangers,1,2,L,OT,19,5,5,L 1,17850,2:35,
30,12/19/23,,Minnesota Wild,3,4,L,OT,19,5,6,L 2,17850,2:36,
31,12/22/23,@,Winnipeg Jets,1,5,L,,19,6,6,L 3,14405,2:34,
32,12/23/23,@,Minnesota Wild,2,3,L,,19,7,6,L 4,19183,2:33,
33,12/27/23,@,Buffalo Sabres,4,1,W,,20,7,6,W 1,19070,2:31,
34,12/30/23,,New Jersey Devils,5,2,W,,21,7,6,W 2,17850,2:27,
35,12/31/23,@,Detroit Red Wings,5,3,W,,22,7,6,W 3,19515,2:37,
36,1/2/24,@,Columbus Blue Jackets,4,1,W,,23,7,6,W 4,18262,2:27,
37,1/4/24,,Pittsburgh Penguins,5,6,L,,23,8,6,L 1,17850,2:35,
38,1/6/24,,Tampa Bay Lightning,7,3,W,,24,8,6,W 1,17850,2:28,
39,1/8/24,@,Colorado Avalanche,3,4,L,SO,24,8,7,L 1,18050,2:56,
40,1/9/24,@,Arizona Coyotes,3,4,L,OT,24,8,8,L 2,4600,2:48,
41,1/11/24,@,Vegas Golden Knights,1,2,L,OT,24,8,9,L 3,18209,2:30,
42,1/13/24,@,St. Louis Blues,4,3,W,OT,25,8,9,W 1,18096,2:31,
43,1/15/24,,New Jersey Devils,3,0,W,,26,8,9,W 2,17850,2:33,
44,1/18/24,,Colorado Avalanche,5,2,W,,27,8,9,W 3,17850,2:34,
45,1/20/24,,Montreal Canadiens,9,4,W,,28,8,9,W 4,17850,2:32,
46,1/22/24,,Winnipeg Jets,4,1,W,,29,8,9,W 5,17850,2:26,
47,1/24/24,,Carolina Hurricanes,2,3,L,,29,9,9,L 1,17850,2:28,
48,1/25/24,@,Ottawa Senators,3,2,W,OT,30,9,9,W 1,18722,2:37,
49,1/27/24,@,Philadelphia Flyers,6,2,W,,31,9,9,W 2,19276,2:29,
50,2/6/24,,Calgary Flames,1,4,L,,31,10,9,L 1,17850,2:31,
51,2/8/24,,Vancouver Canucks,4,0,W,,32,10,9,W 1,17850,2:26,
52,2/10/24,,Washington Capitals,0,3,L,,32,11,9,L 1,17850,2:25,
53,2/13/24,,Tampa Bay Lightning,2,3,L,SO,32,11,10,L 2,17850,2:48,
54,2/15/24,,Seattle Kraken,1,4,L,,32,12,10,L 3,17850,2:22,
55,2/17/24,,Los Angeles Kings,4,5,L,OT,32,12,11,L 4,17850,2:48,
56,2/19/24,,Dallas Stars,4,3,W,SO,33,12,11,W 1,17850,2:53,
57,2/21/24,@,Edmonton Oilers,6,5,W,OT,34,12,11,W 2,18347,2:46,
58,2/22/24,@,Calgary Flames,2,3,L,OT,34,12,12,L 1,17750,2:31,
59,2/24/24,@,Vancouver Canucks,2,3,L,OT,34,12,13,L 2,18924,2:44,
60,2/26/24,@,Seattle Kraken,3,4,L,SO,34,12,14,L 3,17151,2:47,
61,2/29/24,,Vegas Golden Knights,5,4,W,,35,12,14,W 1,17850,2:39,
62,3/2/24,@,New York Islanders,1,5,L,,35,13,14,L 1,17255,2:28,
63,3/4/24,@,Toronto Maple Leafs,4,1,W,,36,13,14,W 1,18911,2:24,
64,3/5/24,,Edmonton Oilers,1,2,L,OT,36,13,15,L 1,17850,2:28,
65,3/7/24,,Toronto Maple Leafs,4,1,W,,37,13,15,W 1,17850,2:40,
66,3/9/24,,Pittsburgh Penguins,5,1,W,,38,13,15,W 2,17850,2:32,
67,3/11/24,,St. Louis Blues,1,5,L,,38,14,15,L 1,17850,2:22,
68,3/14/24,@,Montreal Canadiens,2,1,W,OT,39,14,15,W 1,21105,2:21,
69,3/16/24,,Philadelphia Flyers,6,5,W,,40,14,15,W 2,17850,2:34,
70,3/19/24,,Ottawa Senators,6,2,W,,41,14,15,W 3,17850,2:38,
71,3/21/24,,New York Rangers,2,5,L,,41,15,15,L 1,17850,2:24,
72,3/23/24,@,Philadelphia Flyers,2,3,L,,41,16,15,L 2,18623,2:35,
73,3/26/24,@,Florida Panthers,4,3,W,,42,16,15,W 1,18689,2:31,
74,3/27/24,@,Tampa Bay Lightning,1,3,L,,42,17,15,L 1,19092,2:31,
75,3/30/24,@,Washington Capitals,3,2,W,SO,43,17,15,W 1,18573,2:40,
76,4/2/24,@,Nashville Predators,3,0,W,,44,17,15,W 2,17476,2:28,
77,4/4/24,@,Carolina Hurricanes,4,1,W,,45,17,15,W 3,18853,2:24,
78,4/6/24,,Florida Panthers,3,2,W,OT,46,17,15,W 4,17850,2:46,
79,4/9/24,,Carolina Hurricanes,1,4,L,,46,18,15,L 1,17850,2:31,
80,4/13/24,@,Pittsburgh Penguins,6,4,W,,47,18,15,W 1,18393,2:31,
81,4/15/24,@,Washington Capitals,0,2,L,,47,19,15,L 1,18573,2:28,
82,4/16/24,,Ottawa Senators,1,3,L,,47,20,15,L 2,17850,2:23,
