GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/12/23,@,Buffalo Sabres,5,1,W,,1,0,0,W 1,"19,070",2:26,
2,10/14/23,@,Columbus Blue Jackets,3,5,L,,1,1,0,L 1,"16,520",2:34,
3,10/16/23,,Arizona Coyotes,2,1,W,,2,1,0,W 1,"18,006",2:29,
4,10/19/23,,Nashville Predators,1,4,L,,2,2,0,L 1,"18,006",2:24,
5,10/21/23,@,Seattle Kraken,4,1,W,,3,2,0,W 1,"17,151",2:38,
6,10/24/23,@,Calgary Flames,3,1,W,,4,2,0,W 2,"16,800",2:25,
7,10/26/23,@,Edmonton Oilers,3,0,W,,5,2,0,W 3,"17,939",2:26,
8,10/28/23,@,Vancouver Canucks,4,3,W,OT,6,2,0,W 4,"18,483",2:31,
9,10/30/23,@,Winnipeg Jets,3,2,W,OT,7,2,0,W 5,"11,898",2:29,
10,11/2/23,,Carolina Hurricanes,2,1,W,,8,2,0,W 6,"18,006",2:31,
11,11/4/23,@,Minnesota Wild,4,5,L,SO,8,2,1,L 1,"18,678",2:38,
12,11/7/23,,Detroit Red Wings,5,3,W,,9,2,1,W 1,"18,006",2:25,
13,11/9/23,,Minnesota Wild,4,1,W,,10,2,1,W 2,"18,006",2:23,
14,11/12/23,,Columbus Blue Jackets,4,3,W,SO,11,2,1,W 3,"18,006",2:55,
15,11/18/23,@,New Jersey Devils,5,3,W,,12,2,1,W 4,"17,086",2:32,
16,11/20/23,@,Dallas Stars,3,6,L,,12,3,1,L 1,"18,532",2:33,
17,11/22/23,@,Pittsburgh Penguins,1,0,W,,13,3,1,W 1,"18,250",2:31,
18,11/24/23,@,Philadelphia Flyers,3,1,W,,14,3,1,W 2,"19,032",2:31,
19,11/25/23,,Boston Bruins,7,4,W,,15,3,1,W 3,"18,006",2:41,
20,11/27/23,,Buffalo Sabres,1,5,L,,15,4,1,L 1,"18,006",2:21,
21,11/29/23,,Detroit Red Wings,3,2,W,,16,4,1,W 1,"18,006",2:34,
22,12/2/23,@,Nashville Predators,4,3,W,,17,4,1,W 2,"17,341",2:34,
23,12/3/23,,San Jose Sharks,6,5,W,,18,4,1,W 3,"18,006",2:31,
24,12/5/23,@,Ottawa Senators,2,6,L,,18,5,1,L 1,"17,362",2:28,
25,12/9/23,@,Washington Capitals,0,4,L,,18,6,1,L 2,"18,573",2:29,
26,12/10/23,,Los Angeles Kings,4,1,W,,19,6,1,W 1,"18,006",2:32,
27,12/12/23,,Toronto Maple Leafs,3,7,L,,19,7,1,L 1,"18,006",2:26,
28,12/15/23,,Anaheim Ducks,5,1,W,,20,7,1,W 1,"18,006",2:34,
29,12/16/23,@,Boston Bruins,2,1,W,OT,21,7,1,W 2,"17,850",2:35,
30,12/19/23,@,Toronto Maple Leafs,5,2,W,,22,7,1,W 3,"19,264",2:22,
31,12/22/23,,Edmonton Oilers,3,4,L,,22,8,1,L 1,"18,006",2:29,
32,12/23/23,,Buffalo Sabres,4,3,W,OT,23,8,1,W 1,"18,006",2:36,
33,12/27/23,,Washington Capitals,5,1,W,,24,8,1,W 2,"18,006",2:19,
