GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
34,12/29/23,@,Florida Panthers,3,4,L,,24,9,1,L 1,"19,723",2:34,
35,12/30/23,@,Tampa Bay Lightning,5,1,W,,25,9,1,W 1,"19,092",2:35,
36,1/2/24,,Carolina Hurricanes,1,6,L,,25,10,1,L 1,"18,006",2:28,
37,1/4/24,,Chicago Blackhawks,4,1,W,,26,10,1,W 1,"18,006",2:22,
38,1/6/24,@,Montreal Canadiens,3,4,L,SO,26,10,2,L 1,"21,105",2:34,
39,1/8/24,,Vancouver Canucks,3,6,L,,26,11,2,L 2,"18,006",2:28,
40,1/11/24,@,St. Louis Blues,2,5,L,,26,12,2,L 3,"18,096",2:20,
41,1/13/24,@,Washington Capitals,2,3,L,,26,13,2,L 4,"18,573",2:35,
42,1/14/24,,Washington Capitals,2,1,W,,27,13,2,W 1,"18,006",2:29,
43,1/16/24,,Seattle Kraken,5,2,W,,28,13,2,W 2,"18,006",2:19,
44,1/18/24,@,Vegas Golden Knights,1,5,L,,28,14,2,L 1,"18,149",2:25,
45,1/20/24,@,Los Angeles Kings,1,2,L,,28,15,2,L 2,"18,292",2:28,
46,1/21/24,@,Anaheim Ducks,5,2,W,,29,15,2,W 1,"16,197",2:32,
47,1/23/24,@,San Jose Sharks,2,3,L,OT,29,15,3,L 1,"12,892",2:29,
48,1/26/24,,Vegas Golden Knights,2,5,L,,29,16,3,L 2,"18,006",2:33,
49,1/27/24,@,Ottawa Senators,7,2,W,,30,16,3,W 1,"19,262",2:29,
50,2/5/24,,Colorado Avalanche,2,1,W,OT,31,16,3,W 2,"18,006",2:23,
51,2/7/24,,Tampa Bay Lightning,3,1,W,,32,16,3,W 3,"17,208",2:24,
52,2/9/24,@,Chicago Blackhawks,4,3,W,OT,33,16,3,W 4,"19,995",2:30,
53,2/12/24,,Calgary Flames,2,0,W,,34,16,3,W 5,"18,006",2:22,
54,2/15/24,,Montreal Canadiens,7,4,W,,35,16,3,W 6,"18,006",2:45,
55,2/18/24,@,New York Islanders,6,5,W,OT,36,16,3,W 7,"79,690",2:48,"at MetLife Stadium (East Rutherford, NJ)"
56,2/20/24,,Dallas Stars,3,1,W,,37,16,3,W 8,"18,006",2:29,
57,2/22/24,@,New Jersey Devils,5,1,W,,38,16,3,W 9,"16,650",2:37,
58,2/24/24,@,Philadelphia Flyers,2,1,W,,39,16,3,W 10,"19,756",2:34,
59,2/25/24,@,Columbus Blue Jackets,2,4,L,,39,17,3,L 1,"18,293",2:37,
60,2/28/24,,Columbus Blue Jackets,4,1,W,,40,17,3,W 1,"18,006",2:33,
61,3/2/24,@,Toronto Maple Leafs,3,4,L,SO,40,17,4,L 1,"19,312",2:52,
62,3/4/24,,Florida Panthers,2,4,L,,40,18,4,L 2,"18,006",2:30,
63,3/9/24,,St. Louis Blues,4,0,W,,41,18,4,W 1,"18,006",2:23,
64,3/11/24,,New Jersey Devils,3,1,W,,42,18,4,W 2,"18,006",2:21,
65,3/12/24,@,Carolina Hurricanes,1,0,W,,43,18,4,W 3,"18,859",2:23,
66,3/14/24,@,Tampa Bay Lightning,3,6,L,,43,19,4,L 1,"19,092",2:30,
67,3/16/24,@,Pittsburgh Penguins,7,4,W,,44,19,4,W 1,"17,811",2:28,
68,3/17/24,,New York Islanders,5,2,W,,45,19,4,W 2,"18,006",2:26,
69,3/19/24,,Winnipeg Jets,2,4,L,,45,20,4,L 1,"18,006",2:30,
70,3/21/24,@,Boston Bruins,5,2,W,,46,20,4,W 1,"17,850",2:24,
71,3/23/24,,Florida Panthers,4,3,W,SO,47,20,4,W 2,"18,006",2:44,
72,3/26/24,,Philadelphia Flyers,6,5,W,OT,48,20,4,W 3,"18,006",2:40,
73,3/28/24,@,Colorado Avalanche,3,2,W,SO,49,20,4,W 4,"18,130",2:46,
74,3/30/24,@,Arizona Coyotes,8,5,W,,50,20,4,W 5,"4,600",2:35,
75,4/1/24,,Pittsburgh Penguins,2,5,L,,50,21,4,L 1,"18,006",2:30,
76,4/3/24,,New Jersey Devils,4,3,W,,51,21,4,W 1,"18,006",2:38,
77,4/5/24,@,Detroit Red Wings,4,3,W,,52,21,4,W 2,"19,515",2:35,
78,4/7/24,,Montreal Canadiens,5,2,W,,53,21,4,W 3,"17,854",2:29,
79,4/9/24,@,New York Islanders,2,4,L,,53,22,4,L 1,"17,255",2:38,
80,4/11/24,,Philadelphia Flyers,1,4,L,,53,23,4,L 2,"18,006",2:26,
81,4/13/24,,New York Islanders,3,2,W,SO,54,23,4,W 1,"18,006",2:49,
82,4/15/24,,Ottawa Senators,4,0,W,,55,23,4,W 2,"18,006",2:23,
