GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/11/23,@,Carolina Hurricanes,3,5,L,,0,1,0,L 1,"18,893",2:33,
2,10/14/23,,Philadelphia Flyers,5,2,W,,1,1,0,W 1,"20,011",2:30,
3,10/15/23,,Tampa Bay Lightning,5,2,W,,2,1,0,W 2,"15,584",2:27,
4,10/18/23,,Washington Capitals,6,1,W,,3,1,0,W 3,"15,021",2:31,
5,10/21/23,,Detroit Red Wings,2,5,L,,3,2,0,L 1,"18,834",2:31,
6,10/24/23,,Buffalo Sabres,4,6,L,,3,3,0,L 2,"14,278",2:38,
7,10/26/23,@,New York Islanders,2,3,L,,3,4,0,L 3,"14,911",2:37,
8,10/28/23,@,Pittsburgh Penguins,5,2,W,,4,4,0,W 1,"17,631",2:29,
9,11/2/23,,Los Angeles Kings,2,3,L,,4,5,0,L 1,"16,216",2:24,
10,11/4/23,,Tampa Bay Lightning,4,6,L,,4,6,0,L 2,"17,387",2:36,
11,11/8/23,@,Toronto Maple Leafs,6,3,W,,5,6,0,W 1,"18,372",2:20,
12,11/9/23,,Vancouver Canucks,2,5,L,,5,7,0,L 1,"16,653",2:22,
13,11/11/23,,Calgary Flames,4,1,W,,6,7,0,W 1,"18,874",2:26,
14,11/16/23,,Detroit Red Wings,5,4,W,OT,7,7,0,W 2,"12,487",2:48,"at Ericsson Globe Arena (Stockholm, SE)"
15,11/18/23,,Minnesota Wild,2,1,W,SO,8,7,0,W 3,"13,213",2:38,"at Ericsson Globe Arena (Stockholm, SE)"
16,11/24/23,,New York Islanders,3,5,L,,8,8,0,L 1,"17,693",2:30,
17,11/27/23,,Florida Panthers,0,5,L,,8,9,0,L 2,"15,594",2:44,
18,12/1/23,@,Columbus Blue Jackets,2,4,L,,8,10,0,L 3,"15,552",2:27,
19,12/2/23,,Seattle Kraken,2,0,W,,9,10,0,W 1,"18,159",2:28,
20,12/5/23,,New York Rangers,6,2,W,,10,10,0,W 2,"17,362",2:28,
21,12/7/23,,Toronto Maple Leafs,3,4,L,,10,11,0,L 1,"19,309",2:22,
22,12/9/23,@,Detroit Red Wings,5,1,W,,11,11,0,W 1,"19,515",2:45,
23,12/12/23,,Carolina Hurricanes,1,4,L,,11,12,0,L 1,"16,877",2:27,
24,12/14/23,@,St. Louis Blues,2,4,L,,11,13,0,L 2,"18,096",2:24,
25,12/15/23,@,Dallas Stars,4,5,L,,11,14,0,L 3,"18,532",2:32,
26,12/17/23,@,Vegas Golden Knights,3,6,L,,11,15,0,L 4,"17,892",2:30,
27,12/19/23,@,Arizona Coyotes,3,4,L,,11,16,0,L 5,"4,600",2:30,
28,12/21/23,@,Colorado Avalanche,4,6,L,,11,17,0,L 6,"18,107",2:39,
29,12/23/23,,Pittsburgh Penguins,5,4,W,OT,12,17,0,W 1,"19,286",2:34,
30,12/27/23,@,Toronto Maple Leafs,4,2,W,,13,17,0,W 2,"19,261",2:30,
31,12/29/23,,New Jersey Devils,2,6,L,,13,18,0,L 1,"20,022",2:22,
32,12/31/23,,Buffalo Sabres,5,1,W,,14,18,0,W 1,"19,421",2:31,
33,1/2/24,@,Vancouver Canucks,3,6,L,,14,19,0,L 1,"18,810",2:22,
34,1/4/24,@,Seattle Kraken,1,4,L,,14,20,0,L 2,"17,151",2:20,
35,1/6/24,@,Edmonton Oilers,1,3,L,,14,21,0,L 3,"18,347",2:27,
36,1/9/24,@,Calgary Flames,3,6,L,,14,22,0,L 4,"17,219",2:30,
37,1/11/24,@,Buffalo Sabres,3,5,L,,14,23,0,L 5,"16,083",2:25,
38,1/13/24,,San Jose Sharks,5,4,W,,15,23,0,W 1,"18,764",2:23,
39,1/16/24,,Colorado Avalanche,4,7,L,,15,24,0,L 1,"16,242",2:38,
40,1/18/24,,Montreal Canadiens,6,2,W,,16,24,0,W 1,"19,286",2:32,
41,1/20/24,,Winnipeg Jets,1,2,L,OT,16,24,1,L 1,"19,388",2:28,
42,1/21/24,@,Philadelphia Flyers,5,3,W,,17,24,1,W 1,"18,930",2:38,
43,1/23/24,@,Montreal Canadiens,4,1,W,,18,24,1,W 2,"21,105",2:23,
44,1/25/24,,Boston Bruins,2,3,L,OT,18,24,2,L 1,"18,722",2:37,
45,1/27/24,,New York Rangers,2,7,L,,18,25,2,L 2,"19,262",2:29,
46,1/29/24,,Nashville Predators,4,3,W,OT,19,25,2,W 1,"16,284",2:38,
47,1/31/24,@,Detroit Red Wings,3,2,W,OT,20,25,2,W 2,"19,515",2:26,
48,2/10/24,,Toronto Maple Leafs,5,3,W,,21,25,2,W 3,"19,679",2:25,
49,2/13/24,,Columbus Blue Jackets,6,3,W,,22,25,2,W 4,"15,203",2:34,
50,2/15/24,,Anaheim Ducks,1,5,L,,22,26,2,L 1,"16,297",2:23,
51,2/17/24,@,Chicago Blackhawks,2,3,L,,22,27,2,L 2,"18,888",2:28,
52,2/19/24,@,Tampa Bay Lightning,4,2,W,,23,27,2,W 1,"19,092",2:28,
53,2/20/24,@,Florida Panthers,2,3,L,OT,23,27,3,L 1,"19,000",2:30,
54,2/22/24,,Dallas Stars,4,1,W,,24,27,3,W 1,"16,118",2:19,
55,2/24/24,,Vegas Golden Knights,4,3,W,SO,25,27,3,W 2,"19,197",2:34,
56,2/26/24,@,Washington Capitals,3,6,L,,25,28,3,L 1,"17,296",2:24,
57,2/27/24,@,Nashville Predators,1,4,L,,25,29,3,L 2,"17,159",2:30,
58,3/1/24,,Arizona Coyotes,3,5,L,,25,30,3,L 3,"17,734",2:33,
59,3/2/24,@,Philadelphia Flyers,2,4,L,,25,31,3,L 4,"18,971",2:24,
60,3/6/24,@,Anaheim Ducks,1,2,L,,25,32,3,L 5,"14,000",2:22,
61,3/7/24,@,Los Angeles Kings,3,4,L,OT,25,32,4,L 6,"16,855",2:31,
62,3/9/24,@,San Jose Sharks,1,2,L,,25,33,4,L 7,"17,008",2:24,
63,3/12/24,,Pittsburgh Penguins,2,1,W,OT,26,33,4,W 1,"19,236",2:28,
64,3/14/24,@,Columbus Blue Jackets,3,2,W,SO,27,33,4,W 2,"15,667",2:36,
65,3/16/24,@,New York Islanders,4,3,W,OT,28,33,4,W 3,"17,255",2:37,
66,3/17/24,,Carolina Hurricanes,2,7,L,,28,34,4,L 1,"16,273",2:20,
67,3/19/24,@,Boston Bruins,2,6,L,,28,35,4,L 2,"17,850",2:38,
68,3/21/24,,St. Louis Blues,2,5,L,,28,36,4,L 3,"16,040",2:21,
69,3/23/24,@,New Jersey Devils,5,2,W,,29,36,4,W 1,"16,514",2:20,
70,3/24/24,,Edmonton Oilers,5,3,W,,30,36,4,W 2,"19,344",2:25,
71,3/27/24,@,Buffalo Sabres,6,2,W,,31,36,4,W 3,"14,583",2:26,
72,3/28/24,,Chicago Blackhawks,2,0,W,,32,36,4,W 4,"19,292",2:16,
73,3/30/24,@,Winnipeg Jets,3,2,W,,33,36,4,W 5,"15,225",2:22,
74,4/2/24,@,Minnesota Wild,2,3,L,,33,37,4,L 1,"18,056",2:27,
75,4/4/24,,Florida Panthers,0,6,L,,33,38,4,L 2,"17,653",2:21,
76,4/6/24,,New Jersey Devils,3,4,L,,33,39,4,L 3,"19,146",2:30,
77,4/7/24,@,Washington Capitals,3,2,W,OT,34,39,4,W 1,"17,902",2:31,
78,4/9/24,@,Florida Panthers,0,2,L,,34,40,4,L 1,"17,872",2:23,
79,4/11/24,@,Tampa Bay Lightning,3,2,W,SO,35,40,4,W 1,"19,092",2:48,
80,4/13/24,,Montreal Canadiens,5,4,W,SO,36,40,4,W 2,"19,337",2:39,
81,4/15/24,@,New York Rangers,0,4,L,,36,41,4,L 1,"18,006",2:23,
82,4/16/24,@,Boston Bruins,3,1,W,,37,41,4,W 1,"17,850",2:23,
