GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
56,2/8/25,,New York Islanders,6,3,W,,33,19,4,W 2,"18,539",2:23,
57,2/22/25,@,Detroit Red Wings,4,3,W,OT,34,19,4,W 3,"19,515",2:41,
58,2/25/25,,Detroit Red Wings,2,3,L,,34,20,4,L 1,"18,618",2:18,
59,2/27/25,@,Utah Hockey Club,1,6,L,,34,21,4,L 2,"11,131",2:29,
60,2/28/25,@,Colorado Avalanche,2,5,L,,34,22,4,L 3,"18,091",2:26,
61,3/2/25,,Boston Bruins,1,0,W,,35,22,4,W 1,"18,447",2:21,
62,3/4/25,@,Seattle Kraken,4,3,W,,36,22,4,W 2,"17,151",2:46,
63,3/7/25,@,Vancouver Canucks,1,3,L,,36,23,4,L 1,"18,885",2:19,
64,3/9/25,,Pittsburgh Penguins,1,3,L,,36,24,4,L 2,"18,717",2:24,
65,3/11/25,,Colorado Avalanche,2,1,W,SO,37,24,4,W 1,"18,901",2:32,
66,3/13/25,,New York Rangers,2,3,L,OT,37,24,5,L 1,"18,976",2:33,
67,3/15/25,,St. Louis Blues,1,5,L,,37,25,5,L 2,"18,568",2:26,
68,3/17/25,,Los Angeles Kings,3,1,W,,38,25,5,W 1,"18,033",2:23,
69,3/19/25,,Seattle Kraken,4,0,W,,39,25,5,W 2,"17,579",2:23,
70,3/22/25,,Buffalo Sabres,4,1,W,,40,25,5,W 3,"18,379",2:24,
71,3/24/25,@,Dallas Stars,0,3,L,,40,26,5,L 1,"18,532",2:33,
72,3/25/25,,Vegas Golden Knights,1,5,L,,40,27,5,L 2,"17,734",2:24,
73,3/27/25,,Washington Capitals,4,2,W,,41,27,5,W 1,"19,108",2:29,
74,3/29/25,,New Jersey Devils,2,5,L,,41,28,5,L 1,"19,265",2:27,
75,3/31/25,@,New Jersey Devils,2,3,L,SO,41,28,6,L 2,"15,468",2:36,
76,4/2/25,@,New York Rangers,4,5,L,OT,41,28,7,L 3,"17,492",2:32,
77,4/4/25,@,New York Islanders,1,3,L,,41,29,7,L 4,"15,742",2:24,
78,4/6/25,,Dallas Stars,3,2,W,OT,42,29,7,W 1,"18,548",2:31,
79,4/9/25,,San Jose Sharks,8,7,W,OT,43,29,7,W 2,"18,675",2:48,
80,4/11/25,@,Calgary Flames,2,4,L,,43,30,7,L 1,"18,566",2:28,
81,4/12/25,@,Vancouver Canucks,3,2,W,OT,44,30,7,W 1,"18,844",2:38,
82,4/15/25,,Anaheim Ducks,3,2,W,OT,45,30,7,W 2,"19,029",2:37,
