GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,10/10/24,,Columbus Blue Jackets,3,2,W,,1,0,0,W 1,"18,613",2:29,
2,10/12/24,,Seattle Kraken,4,5,L,SO,1,0,1,L 1,"18,421",2:43,
3,10/13/24,@,Winnipeg Jets,1,2,L,OT,1,0,2,L 2,"12,916",2:28,
4,10/15/24,@,St. Louis Blues,4,1,W,,2,0,2,W 1,"18,096",2:25,
5,10/19/24,@,Columbus Blue Jackets,3,1,W,,3,0,2,W 2,"16,876",2:25,
6,10/22/24,@,Florida Panthers,5,1,W,,4,0,2,W 3,"18,264",2:22,
7,10/24/24,@,Tampa Bay Lightning,4,2,W,,5,0,2,W 4,"19,092",2:29,
8,10/26/24,@,Philadelphia Flyers,5,7,L,,5,1,2,L 1,"18,238",2:33,
9,10/29/24,@,Pittsburgh Penguins,5,3,W,,6,1,2,W 1,"18,195",2:28,
10,11/1/24,,Tampa Bay Lightning,5,3,W,,7,1,2,W 2,"18,104",2:27,
11,11/3/24,,Toronto Maple Leafs,2,1,W,OT,8,1,2,W 3,"18,096",2:31,
12,11/5/24,,Los Angeles Kings,1,5,L,,8,2,2,L 1,"17,617",2:30,
13,11/7/24,@,San Jose Sharks,5,2,W,,9,2,2,W 1,"10,526",2:28,
14,11/8/24,@,Anaheim Ducks,5,2,W,,10,2,2,W 2,"14,706",2:22,
15,11/10/24,@,Chicago Blackhawks,1,2,L,OT,10,2,3,L 1,"19,657",2:25,
16,11/14/24,,Montreal Canadiens,3,0,W,,11,2,3,W 1,"17,012",2:25,
17,11/16/24,,Dallas Stars,1,2,L,,11,3,3,L 1,"18,143",2:23,
18,11/19/24,@,St. Louis Blues,4,2,W,,12,3,3,W 1,"16,463",2:30,
19,11/21/24,@,Edmonton Oilers,5,3,W,,13,3,3,W 2,"18,347",2:39,
20,11/23/24,@,Calgary Flames,3,4,L,SO,13,3,4,L 1,"17,116",2:35,
21,11/25/24,,Winnipeg Jets,1,4,L,,13,4,4,L 2,"17,686",2:27,
22,11/27/24,@,Buffalo Sabres,1,0,W,,14,4,4,W 1,"17,326",2:24,
23,11/29/24,,Chicago Blackhawks,3,2,W,,15,4,4,W 2,"18,532",2:19,
24,11/30/24,,Nashville Predators,3,2,W,OT,16,4,4,W 3,"19,064",2:22,
25,12/3/24,,Vancouver Canucks,3,2,W,OT,17,4,4,W 4,"18,076",2:30,
26,12/6/24,@,Anaheim Ducks,5,1,W,,18,4,4,W 5,"15,171",2:28,
27,12/7/24,@,Los Angeles Kings,1,4,L,,18,5,4,L 1,"18,145",2:24,
28,12/10/24,@,Utah Hockey Club,5,4,W,SO,19,5,4,W 1,"11,131",2:46,
29,12/12/24,,Edmonton Oilers,1,7,L,,19,6,4,L 1,"18,394",2:23,
30,12/14/24,,Philadelphia Flyers,4,1,W,,20,6,4,W 1,"18,076",2:27,
31,12/15/24,,Vegas Golden Knights,2,3,L,,20,7,4,L 1,"18,771",2:34,
32,12/18/24,,Florida Panthers,1,6,L,,20,8,4,L 2,"17,423",2:39,
33,12/20/24,,Utah Hockey Club,1,2,L,,20,9,4,L 3,"18,088",2:24,
34,12/21/24,@,Winnipeg Jets,0,5,L,,20,10,4,L 4,"15,225",2:19,
35,12/23/24,,Chicago Blackhawks,4,3,W,,21,10,4,W 1,"19,067",2:20,
36,12/27/24,@,Dallas Stars,3,2,W,OT,22,10,4,W 2,"18,532",2:25,
37,12/29/24,,Ottawa Senators,1,3,L,,22,11,4,L 1,"18,989",2:31,
38,12/31/24,,Nashville Predators,5,3,W,,23,11,4,W 1,"19,145",2:38,
39,1/2/25,@,Washington Capitals,4,3,W,SO,24,11,4,W 2,"18,573",2:37,
40,1/4/25,@,Carolina Hurricanes,4,0,W,,25,11,4,W 3,"18,903",2:32,
41,1/7/25,,St. Louis Blues,6,4,W,,26,11,4,W 4,"18,464",2:24,
42,1/9/25,,Colorado Avalanche,1,6,L,,26,12,4,L 1,"18,979",2:25,
43,1/11/25,@,San Jose Sharks,3,1,W,,27,12,4,W 1,"17,435",2:22,
44,1/12/25,@,Vegas Golden Knights,1,4,L,,27,13,4,L 1,"17,921",2:25,
45,1/15/25,,Edmonton Oilers,3,5,L,,27,14,4,L 2,"18,212",2:30,
46,1/18/25,@,Nashville Predators,2,6,L,,27,15,4,L 3,"17,615",2:39,
47,1/20/25,@,Colorado Avalanche,3,1,W,,28,15,4,W 1,"18,072",2:33,
48,1/23/25,,Utah Hockey Club,0,4,L,,28,16,4,L 1,"18,071",2:22,
49,1/25/25,,Calgary Flames,4,5,L,,28,17,4,L 2,"19,212",2:34,
50,1/26/25,@,Chicago Blackhawks,4,2,W,,29,17,4,W 1,"18,701",2:31,
51,1/29/25,@,Toronto Maple Leafs,3,1,W,,30,17,4,W 2,"18,544",2:22,
52,1/30/25,@,Montreal Canadiens,4,0,W,,31,17,4,W 3,"21,105",2:16,
53,2/1/25,@,Ottawa Senators,0,6,L,,31,18,4,L 1,"18,822",2:35,
54,2/4/25,@,Boston Bruins,0,3,L,,31,19,4,L 2,"17,850",2:29,
55,2/6/25,,Carolina Hurricanes,2,1,W,,32,19,4,W 1,"18,273",2:26,
